# Velocity	Xi_G_fit
0.000000	1.508133
1.000000	1.496380
1.033124	1.495991
1.067344	1.495589
1.102699	1.495173
1.139224	1.494744
1.176959	1.494301
1.215944	1.493842
1.256221	1.493369
1.297832	1.492880
1.340820	1.492375
1.385233	1.491853
1.431117	1.491314
1.478521	1.490757
1.527495	1.490181
1.578091	1.489587
1.630363	1.488972
1.684367	1.488338
1.740159	1.487682
1.797799	1.487005
1.857349	1.486305
1.918871	1.485582
1.982431	1.484835
2.048096	1.484064
2.115937	1.483267
2.186024	1.482443
2.258433	1.481592
2.333241	1.480713
2.410526	1.479805
2.490371	1.478867
2.572861	1.477898
2.658084	1.476897
2.746129	1.475863
2.837091	1.474794
2.931066	1.473690
3.028153	1.472550
3.128456	1.471371
3.232082	1.470154
3.339140	1.468897
3.449745	1.467598
3.564013	1.466256
3.682066	1.464869
3.804029	1.463437
3.930032	1.461957
4.060209	1.460429
4.194698	1.458850
4.333642	1.457219
4.477188	1.455534
4.625488	1.453793
4.778701	1.451994
4.936989	1.450137
5.100520	1.448218
5.269468	1.446235
5.444011	1.444187
5.624337	1.442072
5.810635	1.439886
6.003104	1.437629
6.201949	1.435297
6.407380	1.432889
6.619615	1.430400
6.838881	1.427830
7.065409	1.425176
7.299441	1.422434
7.541225	1.419601
7.791018	1.416676
8.049085	1.413654
8.315699	1.410533
8.591145	1.407310
8.875715	1.403980
9.169711	1.400542
9.473445	1.396991
9.787240	1.393323
10.111428	1.389536
10.446356	1.385624
10.792377	1.381585
11.149859	1.377413
11.519183	1.373101
11.900740	1.368632
12.294935	1.363988
12.702188	1.359149
13.122930	1.354104
13.557609	1.348849
14.006686	1.343378
14.470638	1.337686
14.949958	1.331761
15.445155	1.325595
15.956754	1.319175
16.485300	1.312491
17.031353	1.305532
17.595492	1.298288
18.178319	1.290748
18.780450	1.282902
19.402527	1.274736
20.045209	1.266241
20.709179	1.257404
21.395141	1.248213
22.103826	1.238657
22.835984	1.228725
23.592395	1.218405
24.373860	1.207688
25.181211	1.196563
26.015303	1.185020
26.877024	1.173052
27.767288	1.160651
28.687041	1.147810
29.637260	1.134528
30.618953	1.120802
31.633164	1.106634
32.680968	1.092024
33.763480	1.076976
34.881849	1.061495
36.037262	1.045588
37.230946	1.029259
38.464170	1.012514
39.738242	0.995365
41.054516	0.977828
42.414390	0.959927
43.819308	0.941689
45.270762	0.923137
46.770294	0.904284
48.319495	0.885147
49.920011	0.865742
51.573542	0.846081
53.281845	0.826174
55.046732	0.806034
56.870079	0.785686
58.753821	0.765163
60.699960	0.744500
62.710562	0.723741
