# Velocity	Xi_G_fit
1.000000	1.120361
1.025914	1.120091
1.052163	1.119818
1.078753	1.119542
1.105687	1.119262
1.132971	1.118978
1.160607	1.118690
1.188602	1.118399
1.216960	1.118104
1.245685	1.117805
1.274782	1.117503
1.304256	1.117196
1.334112	1.116886
1.364355	1.116571
1.394990	1.116253
1.426022	1.115930
1.457455	1.115603
1.489296	1.115272
1.521550	1.114936
1.554222	1.114596
1.587316	1.114252
1.620840	1.113903
1.654798	1.113550
1.689196	1.113192
1.724040	1.112830
1.759335	1.112463
1.795088	1.112091
1.831303	1.111714
1.867988	1.111333
1.905149	1.110946
1.942790	1.110555
1.980920	1.110158
2.019543	1.109757
2.058667	1.109350
2.098298	1.108937
2.138443	1.108520
2.179107	1.108097
2.220299	1.107668
2.262024	1.107235
2.304290	1.106795
2.347103	1.106350
2.390471	1.105899
2.434401	1.105442
2.478901	1.104979
2.523976	1.104510
2.569636	1.104035
2.615888	1.103554
2.662739	1.103067
2.710197	1.102573
2.758269	1.102073
2.806965	1.101567
2.856291	1.101054
2.906257	1.100534
2.956870	1.100007
3.008139	1.099474
3.060072	1.098934
3.112678	1.098387
3.165966	1.097833
3.219944	1.097271
3.274621	1.096702
3.330007	1.096126
3.386111	1.095543
3.442942	1.094952
3.500508	1.094353
3.558821	1.093747
3.617889	1.093132
3.677723	1.092510
3.738332	1.091879
3.799726	1.091241
3.861916	1.090594
3.924911	1.089939
3.988723	1.089275
4.053362	1.088603
4.118838	1.087922
4.185162	1.087232
4.252346	1.086533
4.320400	1.085825
4.389336	1.085108
4.459165	1.084382
4.529899	1.083646
4.601550	1.082901
4.674129	1.082146
4.747648	1.081382
4.822120	1.080607
4.897556	1.079822
4.973971	1.079028
5.051375	1.078222
5.129782	1.077407
5.209205	1.076581
5.289657	1.075744
5.371152	1.074896
5.453703	1.074038
5.537323	1.073168
5.622026	1.072287
5.707827	1.071395
5.794740	1.070491
5.882779	1.069575
5.971959	1.068647
6.062294	1.067708
6.153799	1.066756
6.246491	1.065792
6.340383	1.064815
6.435492	1.063826
6.531833	1.062824
6.629422	1.061809
6.728276	1.060781
6.828411	1.059739
6.929843	1.058684
7.032589	1.057616
7.136667	1.056533
7.242093	1.055437
7.348885	1.054326
7.457061	1.053201
7.566639	1.052061
7.677636	1.050907
7.790071	1.049737
7.903964	1.048553
8.019332	1.047353
8.136194	1.046137
8.254571	1.044906
8.374482	1.043659
8.495947	1.042395
8.618985	1.041116
8.743617	1.039819
8.869865	1.038506
8.997748	1.037176
9.127288	1.035829
9.258506	1.034464
9.391425	1.033082
9.526066	1.031681
9.662451	1.030263
9.800604	1.028826
9.940547	1.027370
10.082302	1.025896
10.225895	1.024402
10.371348	1.022881
10.518686	1.021331
10.667932	1.019753
10.819113	1.018145
10.972252	1.016508
11.127376	1.014841
11.284509	1.013143
11.443679	1.011415
11.604911	1.009656
11.768231	1.007865
11.933668	1.006042
12.101249	1.004186
12.271001	1.002298
12.442952	1.000377
12.617132	0.998422
12.793568	0.996433
12.972290	0.994409
13.153328	0.992351
13.336711	0.990257
13.522471	0.988127
13.710638	0.985961
13.901242	0.983759
14.094317	0.981520
14.289892	0.979243
14.488002	0.976929
14.688679	0.974576
14.891956	0.972185
15.097867	0.969755
15.306446	0.967285
15.517727	0.964775
15.731746	0.962226
15.948538	0.959635
16.168139	0.957004
16.390586	0.954331
16.615914	0.951616
16.844162	0.948859
17.075368	0.946060
17.309569	0.943218
17.546804	0.940332
17.787114	0.937403
18.030537	0.934430
18.277114	0.931413
18.526887	0.928350
18.779895	0.925243
19.036181	0.922091
19.295789	0.918893
19.558760	0.915649
19.825138	0.912358
20.094968	0.909022
20.368294	0.905638
20.645161	0.902208
20.925616	0.898730
21.209704	0.895204
21.497474	0.891631
21.788972	0.888010
22.084247	0.884340
22.383348	0.880622
22.686324	0.876856
22.993226	0.873041
23.304104	0.869176
23.619011	0.865263
23.937997	0.861301
24.261117	0.857289
24.588423	0.853228
24.919971	0.849118
25.255814	0.844958
25.596008	0.840748
25.940611	0.836489
26.289678	0.832181
26.643269	0.827823
27.001440	0.823415
27.364253	0.818958
27.731766	0.814452
28.104042	0.809897
28.481140	0.805292
28.863125	0.800639
29.250060	0.795936
29.642007	0.791186
30.039034	0.786386
30.441204	0.781539
30.848585	0.776644
31.261245	0.771702
31.679251	0.766712
32.102674	0.761675
32.531583	0.756592
32.966049	0.751463
33.406145	0.746289
33.851942	0.741069
34.303516	0.735804
34.760941	0.730495
35.224293	0.725143
35.693648	0.719747
36.169085	0.714310
36.650682	0.708830
37.138519	0.703309
37.632677	0.697748
38.133238	0.692147
38.640284	0.686507
39.153900	0.680828
39.674172	0.675113
40.201184	0.669360
40.735024	0.663573
41.275782	0.657750
41.823546	0.651893
42.378407	0.646004
42.940458	0.640083
43.509791	0.634131
44.086501	0.628149
44.670684	0.622138
45.262435	0.616100
45.861854	0.610035
46.469040	0.603945
47.084092	0.597830
47.707114	0.591693
48.338209	0.585534
48.977480	0.579355
49.625035	0.573156
50.280979	0.566940
50.945423	0.560707
51.618476	0.554459
52.300250	0.548198
52.990857	0.541924
53.690412	0.535639
54.399032	0.529345
55.116833	0.523042
55.843934	0.516733
56.580457	0.510420
57.326523	0.504102
58.082255	0.497783
58.847779	0.491463
59.623222	0.485144
60.408713	0.478828
61.204381	0.472516
62.010358	0.466210
62.826779	0.459911
63.653777	0.453622
64.491491	0.447342
65.340060	0.441075
66.199623	0.434821
67.070323	0.428583
67.952305	0.422361
68.845715	0.416158
69.750701	0.409974
70.667412	0.403813
71.596001	0.397674
72.536622	0.391560
73.489431	0.385472
74.454585	0.379411
75.432244	0.373380
76.422571	0.367379
77.425729	0.361410
78.441885	0.355475
79.471208	0.349575
80.513867	0.343711
81.570036	0.337884
82.639890	0.332097
83.723606	0.326350
84.821363	0.320644
85.933344	0.314981
