# Velocity	Xi_G_fit
1.000000	1.476943
1.025914	1.476612
1.052163	1.476277
1.078753	1.475937
1.105687	1.475593
1.132971	1.475245
1.160607	1.474892
1.188602	1.474534
1.216960	1.474172
1.245685	1.473805
1.274782	1.473434
1.304256	1.473057
1.334112	1.472676
1.364355	1.472290
1.394990	1.471899
1.426022	1.471502
1.457455	1.471101
1.489296	1.470694
1.521550	1.470282
1.554222	1.469865
1.587316	1.469443
1.620840	1.469014
1.654798	1.468581
1.689196	1.468141
1.724040	1.467697
1.759335	1.467246
1.795088	1.466789
1.831303	1.466327
1.867988	1.465858
1.905149	1.465384
1.942790	1.464903
1.980920	1.464416
2.019543	1.463923
2.058667	1.463423
2.098298	1.462917
2.138443	1.462404
2.179107	1.461885
2.220299	1.461359
2.262024	1.460826
2.304290	1.460286
2.347103	1.459740
2.390471	1.459186
2.434401	1.458625
2.478901	1.458056
2.523976	1.457481
2.569636	1.456898
2.615888	1.456307
2.662739	1.455709
2.710197	1.455103
2.758269	1.454489
2.806965	1.453867
2.856291	1.453237
2.906257	1.452599
2.956870	1.451952
3.008139	1.451298
3.060072	1.450635
3.112678	1.449963
3.165966	1.449282
3.219944	1.448593
3.274621	1.447895
3.330007	1.447187
3.386111	1.446471
3.442942	1.445745
3.500508	1.445010
3.558821	1.444265
3.617889	1.443511
3.677723	1.442747
3.738332	1.441973
3.799726	1.441189
3.861916	1.440394
3.924911	1.439590
3.988723	1.438775
4.053362	1.437950
4.118838	1.437113
4.185162	1.436266
4.252346	1.435408
4.320400	1.434539
4.389336	1.433659
4.459165	1.432767
4.529899	1.431864
4.601550	1.430949
4.674129	1.430022
4.747648	1.429083
4.822120	1.428132
4.897556	1.427169
4.973971	1.426193
5.051375	1.425204
5.129782	1.424203
5.209205	1.423189
5.289657	1.422161
5.371152	1.421121
5.453703	1.420066
5.537323	1.418998
5.622026	1.417917
5.707827	1.416821
5.794740	1.415711
5.882779	1.414587
5.971959	1.413448
6.062294	1.412294
6.153799	1.411126
6.246491	1.409942
6.340383	1.408743
6.435492	1.407528
6.531833	1.406298
6.629422	1.405052
6.728276	1.403789
6.828411	1.402510
6.929843	1.401215
7.032589	1.399903
7.136667	1.398574
7.242093	1.397228
7.348885	1.395864
7.457061	1.394482
7.566639	1.393083
7.677636	1.391665
7.790071	1.390229
7.903964	1.388775
8.019332	1.387302
8.136194	1.385809
8.254571	1.384298
8.374482	1.382766
8.495947	1.381215
8.618985	1.379644
8.743617	1.378052
8.869865	1.376440
8.997748	1.374807
9.127288	1.373152
9.258506	1.371477
9.391425	1.369779
9.526066	1.368060
9.662451	1.366318
9.800604	1.364554
9.940547	1.362767
10.082302	1.360956
10.225895	1.359122
10.371348	1.357265
10.518686	1.355383
10.667932	1.353477
10.819113	1.351547
10.972252	1.349591
11.127376	1.347610
11.284509	1.345603
11.443679	1.343571
11.604911	1.341512
11.768231	1.339426
11.933668	1.337313
12.101249	1.335173
12.271001	1.333005
12.442952	1.330809
12.617132	1.328585
12.793568	1.326332
12.972290	1.324049
13.153328	1.321737
13.336711	1.319395
13.522471	1.317023
13.710638	1.314620
13.901242	1.312186
14.094317	1.309720
14.289892	1.307223
14.488002	1.304693
14.688679	1.302130
14.891956	1.299534
15.097867	1.296904
15.306446	1.294241
15.517727	1.291530
15.731746	1.288771
15.948538	1.285964
16.168139	1.283108
16.390586	1.280202
16.615914	1.277247
16.844162	1.274240
17.075368	1.271182
17.309569	1.268072
17.546804	1.264909
17.787114	1.261694
18.030537	1.258424
18.277114	1.255100
18.526887	1.251722
18.779895	1.248287
19.036181	1.244797
19.295789	1.241250
19.558760	1.237646
19.825138	1.233984
20.094968	1.230264
20.368294	1.226486
20.645161	1.222648
20.925616	1.218750
21.209704	1.214792
21.497474	1.210773
21.788972	1.206692
22.084247	1.202550
22.383348	1.198346
22.686324	1.194079
22.993226	1.189749
23.304104	1.185356
23.619011	1.180898
23.937997	1.176377
24.261117	1.171791
24.588423	1.167140
24.919971	1.162424
25.255814	1.157642
25.596008	1.152795
25.940611	1.147881
26.289678	1.142901
26.643269	1.137855
27.001440	1.132742
27.364253	1.127563
27.731766	1.122316
28.104042	1.117002
28.481140	1.111621
28.863125	1.106173
29.250060	1.100657
29.642007	1.095074
30.039034	1.089424
30.441204	1.083707
30.848585	1.077922
31.261245	1.072071
31.679251	1.066152
32.102674	1.060167
32.531583	1.054115
32.966049	1.047997
33.406145	1.041812
33.851942	1.035562
34.303516	1.029246
34.760941	1.022865
35.224293	1.016420
35.693648	1.009911
36.169085	1.003337
36.650682	0.996701
37.138519	0.990003
37.632677	0.983242
38.133238	0.976421
38.640284	0.969539
39.153900	0.962597
39.674172	0.955597
40.201184	0.948540
40.735024	0.941425
41.275782	0.934255
41.823546	0.927029
42.378407	0.919751
42.940458	0.912419
43.509791	0.905036
44.086501	0.897603
44.670684	0.890121
45.262435	0.882591
45.861854	0.875015
46.469040	0.867394
47.084092	0.859729
47.707114	0.852023
48.338209	0.844275
48.977480	0.836488
49.625035	0.828664
50.280979	0.820804
50.945423	0.812910
51.618476	0.804983
52.300250	0.797025
52.990857	0.789038
53.690412	0.781023
54.399032	0.772983
