# Velocity	Xi_G_fit
0.000000	4.267266
1.000000	4.086742
1.032926	4.080798
1.066937	4.074658
1.102067	4.068315
1.138354	4.061764
1.175836	4.054997
1.214552	4.048008
1.254542	4.040788
1.295850	4.033330
1.338517	4.025627
1.382590	4.017670
1.428113	4.009450
1.475136	4.000961
1.523707	3.992191
1.573877	3.983133
1.625699	3.973776
1.679227	3.964111
1.734518	3.954128
1.791629	3.943815
1.850621	3.933163
1.911555	3.922161
1.974495	3.910795
2.039508	3.899055
2.106662	3.886929
2.176026	3.874403
2.247675	3.861464
2.321682	3.848098
2.398127	3.834293
2.477088	3.820032
2.558649	3.805301
2.642896	3.790085
2.729917	3.774367
2.819803	3.758131
2.912649	3.741360
3.008552	3.724035
3.107612	3.706140
3.209934	3.687654
3.315626	3.668559
3.424797	3.648834
3.537563	3.628458
3.654042	3.607409
3.774356	3.585667
3.898631	3.563206
4.026999	3.540005
4.159593	3.516037
4.296553	3.491279
4.438023	3.465702
4.584151	3.439281
4.735090	3.411987
4.890999	3.383790
5.052041	3.354662
5.218386	3.324571
5.390208	3.293485
5.567688	3.261370
5.751011	3.228193
5.940371	3.193918
6.135966	3.158507
6.338000	3.121924
6.546687	3.084128
6.762245	3.045080
6.984901	3.004736
7.214888	2.963053
7.452448	2.919987
7.697829	2.875490
7.951290	2.829514
8.213097	2.782008
8.483524	2.732922
8.762855	2.682201
9.051383	2.629789
9.349412	2.575629
9.657254	2.519661
9.975231	2.461822
10.303679	2.402054
10.642941	2.340325
10.993374	2.276615
11.355345	2.210913
11.729234	2.143216
12.115435	2.073531
12.514351	2.001875
12.926403	1.928313
13.352021	1.853501
13.791654	1.778731
14.245762	1.705565
14.714822	1.635864
15.199327	1.571831
15.699785	1.516051
16.216721	1.471512
16.750678	1.439831
17.302215	1.419975
17.871913	1.410296
18.460370	1.408662
19.068201	1.412378
19.696047	1.418105
20.344565	1.421774
21.014436	1.420256
21.706364	1.413598
22.421074	1.402400
23.159317	1.387445
23.921868	1.369729
24.709527	1.350494
25.523120	1.331260
26.363502	1.313253
27.231555	1.296473
28.128190	1.280683
29.054347	1.265577
30.010999	1.250776
30.999151	1.235809
32.019838	1.220105
33.074133	1.203214
34.163142	1.185147
35.288008	1.166004
36.449912	1.145915
37.650073	1.125048
38.889751	1.103609
40.170246	1.081852
41.492904	1.059968
42.859112	1.037964
44.270304	1.015820
45.727962	0.993511
47.233615	0.970999
48.788843	0.948240
50.395280	0.925178
52.054610	0.901790
53.768576	0.878115
55.538976	0.854205
57.367670	0.830122
59.256575	0.805935
61.207675	0.781725
63.223018	0.757586
65.304718	0.733582
67.454961	0.709745
69.676004	0.686103
71.970177	0.662684
74.339889	0.639513
76.787627	0.616610
79.315960	0.593996
81.927542	0.571699
84.625113	0.549753
87.411505	0.528193
90.289643	0.507048
93.262548	0.486346
96.333339	0.466110
99.505240	0.446358
102.781579	0.427113
106.165797	0.408395
109.661445	0.390219
113.272191	0.372592
117.001826	0.355509
120.854263	0.338957
124.833548	0.322918
128.943855	0.307400
133.189500	0.292412
137.574938	0.277957
142.104773	0.264025
146.783758	0.250598
151.616805	0.237642
156.608986	0.225129
161.765541	0.213066
167.091883	0.201457
172.593601	0.190299
178.276471	0.179580
184.146456	0.169277
190.209719	0.159357
196.472622	0.149801
202.941739	0.140614
209.623861	0.131797
216.526000	0.123346
223.655402	0.115248
231.019548	0.107483
238.626168	0.100020
246.483246	0.092850
254.599029	0.085979
262.982034	0.079406
271.641061	0.073127
280.585197	0.067130
289.823831	0.061397
299.366659	0.055907
309.223697	0.050657
319.405291	0.045650
329.922127	0.040885
340.785244	0.036357
352.006043	0.032057
363.596301	0.027967
375.568184	0.024073
387.934257	0.020374
400.707499	0.016873
413.901316	0.013566
427.529557	0.010448
441.606526	0.007508
456.146997	0.004733
471.166233	0.002110
486.679996	-0.000358
502.704570	-0.002671
519.256774	-0.004833
536.353981	-0.006848
554.014136	-0.008727
572.255775	-0.010480
591.098043	-0.012115
610.560718	-0.013630
630.664227	-0.015026
651.429669	-0.016307
672.878842	-0.017478
695.034256	-0.018548
717.919166	-0.019527
741.557592	-0.020417
765.974344	-0.021218
791.195049	-0.021934
817.246178	-0.022565
844.155076	-0.023118
871.949983	-0.023599
900.660075	-0.024017
930.315484	-0.024371
960.947335	-0.024662
992.587781	-0.024894
1025.270029	-0.025067
1059.028383	-0.025187
1093.898275	-0.025259
1129.916304	-0.025289
1167.120273	-0.025276
1205.549231	-0.025222
1245.243514	-0.025128
1286.244782	-0.024997
1328.596070	-0.024833
1372.341830	-0.024639
1417.527976	-0.024420
1464.201935	-0.024174
1512.412695	-0.023904
1562.210858	-0.023611
1613.648689	-0.023296
1666.780179	-0.022963
1721.661092	-0.022615
1778.349031	-0.022253
1836.903494	-0.021878
1897.385940	-0.021490
1959.859848	-0.021091
2024.390792	-0.020682
2091.046502	-0.020266
2159.896937	-0.019844
2231.014363	-0.019417
2304.473424	-0.018986
2380.351219	-0.018552
2458.727390	-0.018115
2539.684199	-0.017676
2623.306617	-0.017237
2709.682412	-0.016798
2798.902242	-0.016361
2891.059752	-0.015926
2986.251668	-0.015493
3084.577903	-0.015063
3186.141657	-0.014636
3291.049530	-0.014214
3399.411631	-0.013796
3511.341697	-0.013383
3626.957206	-0.012976
3746.379506	-0.012574
3869.733942	-0.012179
3997.149984	-0.011790
4128.761364	-0.011408
4264.706222	-0.011032
4405.127241	-0.010664
4550.171806	-0.010303
4699.992152	-0.009950
4854.745529	-0.009604
5014.594363	-0.009266
5179.706428	-0.008936
5350.255024	-0.008613
5526.419155	-0.008298
5708.383719	-0.007992
5896.339705	-0.007693
6090.484387	-0.007402
6291.021535	-0.007120
6498.161632	-0.006844
6712.122086	-0.006577
6933.127467	-0.006317
7161.409739	-0.006065
7397.208503	-0.005821
7640.771249	-0.005585
7892.353617	-0.005355
8152.219662	-0.005133
8420.642136	-0.004918
8697.902770	-0.004710
8984.292573	-0.004509
9280.112134	-0.004316
9585.671940	-0.004129
9901.292701	-0.003948
10227.305688	-0.003773
10564.053079	-0.003605
10911.888316	-0.003443
11271.176483	-0.003288
11642.294682	-0.003138
12025.632432	-0.002994
12421.592078	-0.002855
12830.589211	-0.002721
13253.053110	-0.002593
13689.427184	-0.002470
14140.169443	-0.002352
14605.752981	-0.002239
15086.666463	-0.002130
15583.414650	-0.002026
16096.518920	-0.001926
16626.517817	-0.001830
17173.967620	-0.001739
17739.442922	-0.001652
18323.537237	-0.001568
18926.863620	-0.001488
19550.055311	-0.001412
20193.766402	-0.001339
20858.672521	-0.001269
21545.471542	-0.001202
22254.884317	-0.001139
22987.655434	-0.001079
23744.553997	-0.001021
24526.374433	-0.000966
25333.937327	-0.000914
26168.090284	-0.000864
27029.708815	-0.000817
27919.697262	-0.000772
28838.989740	-0.000729
29788.551122	-0.000689
30769.378053	-0.000650
31782.499991	-0.000613
32828.980291	-0.000578
33909.917321	-0.000545
35026.445614	-0.000514
36179.737058	-0.000484
37371.002129	-0.000456
38601.491157	-0.000429
39872.495642	-0.000404
41185.349610	-0.000380
42541.431008	-0.000358
43942.163156	-0.000336
45389.016239	-0.000316
46883.508848	-0.000297
48427.209577	-0.000279
50021.738667	-0.000262
51668.769710	-0.000246
53370.031399	-0.000231
55127.309351	-0.000216
56942.447973	-0.000203
58817.352403	-0.000190
60753.990510	-0.000178
62754.394953	-0.000167
64820.665325	-0.000156
66954.970346	-0.000146
69159.550145	-0.000137
71436.718613	-0.000128
73788.865824	-0.000120
76218.460553	-0.000112
78728.052860	-0.000104
81320.276770	-0.000098
83997.853036	-0.000091
86763.591995	-0.000085
89620.396520	-0.000079
92571.265063	-0.000074
95619.294805	-0.000069
98767.684905	-0.000064
102019.739859	-0.000060
105378.872967	-0.000056
108848.609918	-0.000052
112432.592487	-0.000048
116134.582361	-0.000045
119958.465084	-0.000042
123908.254137	-0.000039
127988.095151	-0.000036
132202.270255	-0.000034
136555.202576	-0.000031
141051.460876	-0.000029
145695.764350	-0.000027
150492.987578	-0.000025
155448.165643	-0.000023
160566.499414	-0.000021
165853.361006	-0.000020
171314.299417	-0.000018
176955.046353	-0.000017
182781.522246	-0.000016
188799.842464	-0.000015
195016.323730	-0.000014
201437.490758	-0.000013
208070.083091	-0.000012
214921.062185	-0.000011
221997.618709	-0.000010
229307.180094	-0.000009
236857.418330	-0.000008
244656.258015	-0.000008
252711.884677	-0.000007
261032.753362	-0.000007
269627.597511	-0.000006
278505.438122	-0.000006
287675.593225	-0.000005
297147.687655	-0.000005
306931.663159	-0.000004
317037.788827	-0.000004
327476.671876	-0.000004
338259.268776	-0.000003
349396.896753	-0.000003
360901.245671	-0.000003
372784.390294	-0.000003
385058.802966	-0.000002
397737.366698	-0.000002
410833.388691	-0.000002
424360.614303	-0.000002
438333.241476	-0.000002
452765.935639	-0.000002
467673.845097	-0.000002
483072.616934	-0.000001
498978.413435	-0.000001
515407.929048	-0.000001
532378.407910	-0.000001
549907.661941	-0.000001
568014.089543	-0.000001
586716.694910	-0.000001
606035.107972	-0.000001
625989.605002	-0.000001
646601.129894	-0.000001
667891.316150	-0.000001
689882.509579	-0.000001
712597.791759	-0.000000
736061.004256	-0.000000
760296.773653	-0.000000
785330.537393	-0.000000
811188.570484	-0.000000
837898.013068	-0.000000
865486.898915	-0.000000
893984.184842	-0.000000
923419.781108	-0.000000
953824.582805	-0.000000
985230.502287	-0.000000
1017670.502665	-0.000000
1051178.632402	-0.000000
1085790.061050	-0.000000
1121541.116168	-0.000000
1158469.321443	-0.000000
1196613.436082	-0.000000
1236013.495488	-0.000000
1276710.853282	-0.000000
1318748.224706	-0.000000
1362169.731458	-0.000000
1407020.948001	-0.000000
1453348.949397	-0.000000
1501202.360713	-0.000000
1550631.408064	-0.000000
1601687.971321	-0.000000
1654425.638572	-0.000000
1708899.762359	-0.000000
1765167.517781	-0.000000
1823287.962500	-0.000000
1883322.098730	-0.000000
1945332.937262	-0.000000
2009385.563600	-0.000000
2075547.206273	-0.000000
2143887.307395	-0.000000
2214477.595557	-0.000000
2287392.161102	-0.000000
2362707.533899	-0.000000
2440502.763659	-0.000000
2520859.502911	-0.000000
2603862.092698	-0.000000
2689597.651103	-0.000000
2778156.164684	-0.000000
2869630.582928	-0.000000
2964116.915799	-0.000000
3061714.334520	-0.000000
3162525.275653	-0.000000
3266655.548619	-0.000000
3374214.446750	-0.000000
3485314.862006	-0.000000
3600073.403462	-0.000000
3718610.519698	-0.000000
3841050.625220	-0.000000
3967522.231047	-0.000000
4098158.079587	-0.000000
4233095.283969	-0.000000
4372475.471947	-0.000000
4516444.934558	-0.000000
4665154.779659	-0.000000
4818761.090530	-0.000000
4977425.089701	-0.000000
5141313.308159	-0.000000
5310597.760144	-0.000000
5485456.123690	-0.000000
5666071.927111	-0.000000
5852634.741629	-0.000000
6045340.380349	-0.000000
6244391.103776	-0.000000
6449995.832107	-0.000000
6662370.364508	-0.000000
6881737.605616	-0.000000
7108327.799492	-0.000000
7342378.771286	-0.000000
7584136.176849	-0.000000
7833853.760573	-0.000000
8091793.621715	-0.000000
8358226.489492	-0.000000
8633432.007233	-0.000000
8917699.025892	-0.000000
9211325.907213	-0.000000
9514620.836893	-0.000000
9827902.148046	-0.000000
10151498.655315	-0.000000
10485750.000000	-0.000000
