# Velocity	Xi_G_fit
1.000000	1.548388
1.025914	1.548146
1.052163	1.547901
1.078753	1.547652
1.105687	1.547401
1.132971	1.547146
1.160607	1.546888
1.188602	1.546627
1.216960	1.546362
1.245685	1.546094
1.274782	1.545822
1.304256	1.545547
1.334112	1.545268
1.364355	1.544986
1.394990	1.544700
1.426022	1.544410
1.457455	1.544116
1.489296	1.543819
1.521550	1.543518
1.554222	1.543213
1.587316	1.542904
1.620840	1.542591
1.654798	1.542274
1.689196	1.541953
1.724040	1.541627
1.759335	1.541298
1.795088	1.540964
1.831303	1.540626
1.867988	1.540283
1.905149	1.539936
1.942790	1.539585
1.980920	1.539229
2.019543	1.538868
2.058667	1.538503
2.098298	1.538133
2.138443	1.537758
2.179107	1.537378
2.220299	1.536994
2.262024	1.536604
2.304290	1.536209
2.347103	1.535810
2.390471	1.535405
2.434401	1.534994
2.478901	1.534579
2.523976	1.534158
2.569636	1.533732
2.615888	1.533300
2.662739	1.532862
2.710197	1.532419
2.758269	1.531971
2.806965	1.531516
2.856291	1.531055
2.906257	1.530589
2.956870	1.530116
3.008139	1.529637
3.060072	1.529153
3.112678	1.528661
3.165966	1.528164
3.219944	1.527660
3.274621	1.527149
3.330007	1.526632
3.386111	1.526108
3.442942	1.525578
3.500508	1.525040
3.558821	1.524496
3.617889	1.523944
3.677723	1.523385
3.738332	1.522820
3.799726	1.522246
3.861916	1.521666
3.924911	1.521077
3.988723	1.520482
4.053362	1.519878
4.118838	1.519267
4.185162	1.518647
4.252346	1.518020
4.320400	1.517385
4.389336	1.516741
4.459165	1.516089
4.529899	1.515429
4.601550	1.514760
4.674129	1.514082
4.747648	1.513395
4.822120	1.512700
4.897556	1.511996
4.973971	1.511282
5.051375	1.510560
5.129782	1.509827
5.209205	1.509086
5.289657	1.508335
5.371152	1.507574
5.453703	1.506803
5.537323	1.506022
5.622026	1.505231
5.707827	1.504430
5.794740	1.503619
5.882779	1.502797
5.971959	1.501964
6.062294	1.501120
6.153799	1.500266
6.246491	1.499401
6.340383	1.498524
6.435492	1.497636
6.531833	1.496736
6.629422	1.495825
6.728276	1.494902
6.828411	1.493967
6.929843	1.493020
7.032589	1.492061
7.136667	1.491089
7.242093	1.490105
7.348885	1.489107
7.457061	1.488097
7.566639	1.487074
7.677636	1.486038
7.790071	1.484988
7.903964	1.483925
8.019332	1.482847
8.136194	1.481756
8.254571	1.480651
8.374482	1.479531
8.495947	1.478397
8.618985	1.477248
8.743617	1.476085
8.869865	1.474906
8.997748	1.473712
9.127288	1.472502
9.258506	1.471277
9.391425	1.470036
9.526066	1.468779
9.662451	1.467505
9.800604	1.466215
9.940547	1.464909
10.082302	1.463585
10.225895	1.462244
10.371348	1.460886
10.518686	1.459511
10.667932	1.458117
10.819113	1.456706
10.972252	1.455276
11.127376	1.453827
11.284509	1.452360
11.443679	1.450874
11.604911	1.449368
11.768231	1.447844
11.933668	1.446299
12.101249	1.444734
12.271001	1.443149
12.442952	1.441544
12.617132	1.439917
12.793568	1.438270
12.972290	1.436601
13.153328	1.434911
13.336711	1.433198
13.522471	1.431464
13.710638	1.429707
13.901242	1.427927
14.094317	1.426125
14.289892	1.424299
14.488002	1.422449
14.688679	1.420575
14.891956	1.418677
15.097867	1.416754
15.306446	1.414807
15.517727	1.412821
15.731746	1.410797
15.948538	1.408734
16.168139	1.406632
16.390586	1.404488
16.615914	1.402304
16.844162	1.400078
17.075368	1.397810
17.309569	1.395499
17.546804	1.393144
17.787114	1.390746
18.030537	1.388302
18.277114	1.385813
18.526887	1.383277
18.779895	1.380695
19.036181	1.378065
19.295789	1.375387
19.558760	1.372661
19.825138	1.369885
20.094968	1.367058
20.368294	1.364181
20.645161	1.361253
20.925616	1.358272
21.209704	1.355239
21.497474	1.352152
21.788972	1.349011
22.084247	1.345815
22.383348	1.342564
22.686324	1.339257
22.993226	1.335894
23.304104	1.332473
23.619011	1.328994
23.937997	1.325456
24.261117	1.321860
24.588423	1.318204
24.919971	1.314487
25.255814	1.310710
25.596008	1.306871
25.940611	1.302970
26.289678	1.299006
26.643269	1.294979
27.001440	1.290888
27.364253	1.286733
27.731766	1.282514
28.104042	1.278229
28.481140	1.273878
28.863125	1.269461
29.250060	1.264977
29.642007	1.260427
30.039034	1.255808
30.441204	1.251122
30.848585	1.246367
31.261245	1.241544
31.679251	1.236652
32.102674	1.231691
32.531583	1.226660
32.966049	1.221559
33.406145	1.216388
33.851942	1.211148
34.303516	1.205837
34.760941	1.200456
35.224293	1.195005
35.693648	1.189484
36.169085	1.183893
36.650682	1.178231
37.138519	1.172500
37.632677	1.166700
38.133238	1.160830
38.640284	1.154892
39.153900	1.148884
39.674172	1.142809
40.201184	1.136665
40.735024	1.130454
41.275782	1.124176
41.823546	1.117831
42.378407	1.111419
42.940458	1.104941
43.509791	1.098398
44.086501	1.091788
44.670684	1.085114
45.262435	1.078375
45.861854	1.071571
46.469040	1.064703
47.084092	1.057770
47.707114	1.050775
48.338209	1.043716
48.977480	1.036594
49.625035	1.029411
50.280979	1.022167
50.945423	1.014862
51.618476	1.007497
52.300250	1.000074
52.990857	0.992594
53.690412	0.985057
54.399032	0.977466
55.116833	0.969822
55.843934	0.962126
56.580457	0.954380
57.326523	0.946586
58.082255	0.938745
58.847779	0.930859
59.623222	0.922930
60.408713	0.914961
61.204381	0.906952
62.010358	0.898906
62.826779	0.890824
63.653777	0.882710
64.491491	0.874563
65.340060	0.866387
66.199623	0.858183
67.070323	0.849954
67.952305	0.841700
68.845715	0.833425
69.750701	0.825130
70.667412	0.816817
71.596001	0.808488
72.536622	0.800146
73.489431	0.791791
74.454585	0.783427
75.432244	0.775055
76.422571	0.766677
77.425729	0.758296
78.441885	0.749913
79.471208	0.741531
80.513867	0.733151
81.570036	0.724776
82.639890	0.716408
83.723606	0.708049
84.821363	0.699701
85.933344	0.691365
87.059733	0.683045
88.200716	0.674742
89.356483	0.666458
90.527225	0.658195
91.713136	0.649956
92.914413	0.641741
94.131255	0.633553
95.363864	0.625394
96.612443	0.617265
97.877200	0.609169
99.158344	0.601107
100.456088	0.593080
101.770647	0.585091
103.102239	0.577141
104.451083	0.569232
105.817405	0.561365
107.201430	0.553541
108.603388	0.545762
110.023511	0.538030
111.462034	0.530345
112.919196	0.522709
114.395238	0.515123
115.890406	0.507588
117.404946	0.500106
118.939110	0.492676
120.493152	0.485301
122.067329	0.477981
123.661903	0.470717
125.277138	0.463510
126.913301	0.456361
128.570664	0.449270
130.249501	0.442238
131.950091	0.435266
133.672716	0.428354
135.417660	0.421503
137.185213	0.414713
138.975668	0.407986
140.789322	0.401320
142.626476	0.394718
144.487433	0.388178
146.372503	0.381702
148.281997	0.375290
150.216233	0.368942
152.175530	0.362658
154.160214	0.356439
156.170613	0.350284
158.207061	0.344195
160.269894	0.338171
162.359456	0.332211
164.476092	0.326318
166.620153	0.320489
168.791995	0.314727
170.991977	0.309029
173.220464	0.303397
175.477825	0.297831
177.764435	0.292330
180.080672	0.286895
182.426921	0.281525
184.803570	0.276220
187.211012	0.270980
189.649648	0.265805
192.119881	0.260694
194.622121	0.255648
197.156782	0.250667
199.724284	0.245749
202.325054	0.240895
204.959521	0.236104
207.628123	0.231376
210.331302	0.226711
213.069505	0.222109
215.843187	0.217568
218.652808	0.213089
221.498833	0.208670
224.381733	0.204313
227.301988	0.200015
230.260079	0.195778
233.256498	0.191599
236.291742	0.187480
239.366313	0.183418
242.480721	0.179414
245.635482	0.175468
248.831120	0.171578
252.068163	0.167744
255.347148	0.163966
258.668618	0.160243
262.033125	0.156574
265.441225	0.152959
268.893484	0.149397
272.390473	0.145889
275.932773	0.142432
279.520970	0.139028
283.155659	0.135674
286.837442	0.132371
290.566930	0.129118
294.344740	0.125914
298.171500	0.122760
302.047842	0.119654
305.974410	0.116595
309.951854	0.113584
313.980834	0.110620
318.062017	0.107702
322.196079	0.104830
326.383706	0.102004
330.625592	0.099222
334.922439	0.096484
339.274961	0.093790
343.683878	0.091139
348.149921	0.088532
352.673830	0.085966
357.256355	0.083442
361.898255	0.080960
366.600300	0.078519
371.363269	0.076118
376.187952	0.073757
381.075148	0.071436
386.025667	0.069154
391.040329	0.066910
396.119966	0.064705
401.265419	0.062538
406.477541	0.060408
411.757197	0.058315
417.105261	0.056259
422.522619	0.054239
428.010169	0.052254
433.568821	0.050305
439.199497	0.048391
444.903128	0.046512
450.680661	0.044666
456.533053	0.042855
462.461274	0.041077
468.466307	0.039332
474.549146	0.037619
480.710800	0.035939
486.952291	0.034291
493.274651	0.032674
499.678931	0.031089
506.166190	0.029534
512.737503	0.028010
519.393961	0.026516
526.136666	0.025051
532.966736	0.023616
539.885303	0.022210
546.893512	0.020832
553.992527	0.019483
561.183523	0.018162
568.467692	0.016869
575.846242	0.015602
583.320395	0.014363
590.891390	0.013150
598.560482	0.011964
606.328942	0.010804
614.198057	0.009669
622.169131	0.008559
630.243486	0.007475
638.422460	0.006415
646.707409	0.005379
655.099704	0.004367
663.600739	0.003380
672.211920	0.002415
680.934676	0.001473
689.770452	0.000555
698.720712	-0.000342
707.786940	-0.001216
716.970639	-0.002069
726.273330	-0.002900
735.696555	-0.003710
745.241877	-0.004499
754.910876	-0.005267
764.705156	-0.006015
774.626339	-0.006743
784.676071	-0.007451
794.856016	-0.008140
805.167862	-0.008810
815.613318	-0.009461
826.194115	-0.010094
836.912006	-0.010708
847.768769	-0.011304
858.766201	-0.011882
869.906127	-0.012443
881.190391	-0.012987
892.620865	-0.013514
904.199443	-0.014025
915.928043	-0.014519
927.808611	-0.014997
939.843113	-0.015459
952.033546	-0.015906
964.381930	-0.016338
976.890310	-0.016754
989.560760	-0.017156
1002.395381	-0.017543
1015.396299	-0.017916
1028.565669	-0.018275
1041.905673	-0.018620
1055.418523	-0.018951
1069.106457	-0.019270
1082.971745	-0.019575
1097.016685	-0.019868
1111.243604	-0.020148
1125.654860	-0.020416
1140.252842	-0.020671
1155.039968	-0.020915
1170.018690	-0.021147
1185.191491	-0.021368
1200.560884	-0.021577
1216.129417	-0.021776
1231.899671	-0.021964
1247.874258	-0.022141
1264.055827	-0.022308
1280.447059	-0.022465
1297.050672	-0.022612
1313.869416	-0.022750
1330.906079	-0.022878
1348.163485	-0.022996
1365.644494	-0.023106
1383.352003	-0.023206
1401.288947	-0.023298
1419.458298	-0.023382
1437.863069	-0.023457
1456.506309	-0.023524
1475.391107	-0.023583
1494.520595	-0.023635
1513.897942	-0.023679
1533.526359	-0.023715
1553.409101	-0.023744
1573.549462	-0.023766
1593.950780	-0.023782
1614.616436	-0.023790
1635.549856	-0.023792
1656.754508	-0.023788
1678.233907	-0.023778
1699.991614	-0.023761
1722.031233	-0.023739
1744.356418	-0.023711
1766.970869	-0.023677
1789.878333	-0.023638
1813.082608	-0.023594
1836.587538	-0.023544
1860.397021	-0.023490
1884.515001	-0.023430
1908.945476	-0.023366
1933.692494	-0.023298
1958.760158	-0.023225
1984.152622	-0.023147
2009.874094	-0.023066
2035.928837	-0.022980
2062.321169	-0.022891
2089.055465	-0.022798
2116.136155	-0.022701
2143.567728	-0.022600
2171.354729	-0.022496
2199.501765	-0.022389
2228.013499	-0.022279
2256.894658	-0.022166
2286.150028	-0.022049
2315.784457	-0.021930
2345.802857	-0.021808
2376.210204	-0.021684
2407.011536	-0.021557
2438.211959	-0.021427
2469.816643	-0.021295
2501.830827	-0.021161
2534.259816	-0.021025
2567.108986	-0.020887
2600.383779	-0.020746
2634.089711	-0.020604
2668.232369	-0.020460
2702.817410	-0.020315
2737.850567	-0.020168
2773.337646	-0.020019
2809.284528	-0.019869
2845.697172	-0.019717
2882.581611	-0.019565
2919.943959	-0.019411
2957.790409	-0.019256
2996.127232	-0.019100
3034.960782	-0.018942
3074.297495	-0.018784
3114.143892	-0.018625
3154.506575	-0.018466
3195.392234	-0.018305
3236.807646	-0.018144
3278.759674	-0.017983
3321.255271	-0.017821
3364.301480	-0.017658
3407.905436	-0.017495
3452.074366	-0.017332
3496.815588	-0.017168
3542.136519	-0.017005
3588.044671	-0.016841
3634.547650	-0.016676
3681.653165	-0.016512
3729.369023	-0.016348
3777.703131	-0.016184
3826.663501	-0.016019
3876.258247	-0.015855
3926.495588	-0.015691
3977.383850	-0.015528
4028.931468	-0.015364
4081.146984	-0.015201
4134.039053	-0.015038
4187.616440	-0.014876
4241.888026	-0.014713
4296.862804	-0.014552
4352.549886	-0.014390
4408.958502	-0.014230
4466.098000	-0.014069
4523.977850	-0.013910
4582.607644	-0.013751
4641.997101	-0.013592
4702.156062	-0.013434
4763.094498	-0.013277
4824.822509	-0.013121
4887.350325	-0.012965
4950.688310	-0.012810
5014.846960	-0.012656
5079.836908	-0.012503
5145.668927	-0.012350
5212.353925	-0.012199
5279.902957	-0.012048
5348.327216	-0.011898
5417.638043	-0.011749
5487.846925	-0.011601
5558.965498	-0.011454
5631.005549	-0.011307
5703.979018	-0.011162
5777.897998	-0.011018
5852.774741	-0.010875
5928.621656	-0.010733
6005.451314	-0.010591
6083.276448	-0.010451
6162.109957	-0.010312
6241.964905	-0.010174
6322.854527	-0.010037
6404.792231	-0.009901
6487.791595	-0.009767
6571.866375	-0.009633
6657.030506	-0.009501
6743.298102	-0.009369
6830.683461	-0.009239
6919.201066	-0.009110
7008.865586	-0.008982
7099.691882	-0.008855
7191.695009	-0.008729
7284.890212	-0.008605
7379.292939	-0.008482
7474.918835	-0.008359
7571.783748	-0.008238
7669.903732	-0.008119
7769.295050	-0.008000
7869.974174	-0.007882
7971.957789	-0.007766
8075.262798	-0.007651
8179.906322	-0.007537
8285.905705	-0.007424
8393.278514	-0.007313
8502.042544	-0.007202
8612.215821	-0.007093
8723.816605	-0.006985
8836.863392	-0.006878
8951.374917	-0.006772
9067.370160	-0.006668
9184.868344	-0.006564
9303.888943	-0.006462
9424.451683	-0.006361
9546.576546	-0.006261
9670.283771	-0.006162
9795.593861	-0.006065
9922.527584	-0.005968
10051.105979	-0.005873
10181.350353	-0.005779
10313.282294	-0.005686
