# Velocity	Xi_G_fit
0.000000	3.676326
1.000000	3.540560
1.032926	3.536092
1.066937	3.531477
1.102067	3.526710
1.138354	3.521786
1.175836	3.516701
1.214552	3.511448
1.254542	3.506023
1.295850	3.500419
1.338517	3.494631
1.382590	3.488654
1.428113	3.482479
1.475136	3.476102
1.523707	3.469516
1.573877	3.462714
1.625699	3.455688
1.679227	3.448431
1.734518	3.440937
1.791629	3.433197
1.850621	3.425203
1.911555	3.416947
1.974495	3.408420
2.039508	3.399614
2.106662	3.390519
2.176026	3.381127
2.247675	3.371428
2.321682	3.361411
2.398127	3.351066
2.477088	3.340384
2.558649	3.329352
2.642896	3.317961
2.729917	3.306197
2.819803	3.294050
2.912649	3.281507
3.008552	3.268556
3.107612	3.255183
3.209934	3.241375
3.315626	3.227119
3.424797	3.212400
3.537563	3.197203
3.654042	3.181515
3.774356	3.165318
3.898631	3.148598
4.026999	3.131338
4.159593	3.113522
4.296553	3.095132
4.438023	3.076152
4.584151	3.056562
4.735090	3.036344
4.890999	3.015481
5.052041	2.993951
5.218386	2.971736
5.390208	2.948816
5.567688	2.925169
5.751011	2.900775
5.940371	2.875613
6.135966	2.849660
6.338000	2.822895
6.546687	2.795294
6.762245	2.766836
6.984901	2.737497
7.214888	2.707254
7.452448	2.676084
7.697829	2.643963
7.951290	2.610867
8.213097	2.576772
8.483524	2.541656
8.762855	2.505495
9.051383	2.468265
9.349412	2.429944
9.657254	2.390510
9.975231	2.349942
10.303679	2.308187
10.642941	2.265019
10.993374	2.220118
11.355345	2.173107
11.729234	2.123543
12.115435	2.070913
12.514351	2.014617
12.926403	1.954026
13.352021	1.889475
13.791654	1.822316
14.245762	1.754234
14.714822	1.687277
15.199327	1.623898
15.699785	1.567021
16.216721	1.520058
16.750678	1.484995
17.302215	1.460999
17.871913	1.446657
18.460370	1.440122
19.068201	1.439055
19.696047	1.440540
20.344565	1.441015
21.014436	1.437716
21.706364	1.430612
22.421074	1.420126
23.159317	1.406813
23.921868	1.391382
24.709527	1.374714
25.523120	1.357893
26.363502	1.341793
27.231555	1.326409
28.128190	1.311570
29.054347	1.297056
30.010999	1.282595
30.999151	1.267850
32.019838	1.252416
33.074133	1.235973
34.163142	1.218528
35.288008	1.200153
36.449912	1.180942
37.650073	1.161018
38.889751	1.140532
40.170246	1.119671
41.492904	1.098577
42.859112	1.077257
44.270304	1.055700
45.727962	1.033891
47.233615	1.011808
48.788843	0.989425
50.395280	0.966709
52.054610	0.943653
53.768576	0.920291
55.538976	0.896669
57.367670	0.872839
59.256575	0.848864
61.207675	0.824813
63.223018	0.800769
65.304718	0.776790
67.454961	0.752909
69.676004	0.729155
71.970177	0.705559
74.339889	0.682150
76.787627	0.658956
79.315960	0.636003
81.927542	0.613323
84.625113	0.590952
87.411505	0.568922
90.289643	0.547265
93.262548	0.526011
96.333339	0.505183
99.505240	0.484805
102.781579	0.464899
106.165797	0.445488
109.661445	0.426588
113.272191	0.408209
117.001826	0.390351
120.854263	0.373003
124.833548	0.356151
128.943855	0.339807
133.189500	0.323981
137.574938	0.308676
142.104773	0.293887
146.783758	0.279596
151.616805	0.265772
156.608986	0.252391
161.765541	0.239460
167.091883	0.226986
172.593601	0.214967
178.276471	0.203392
184.146456	0.192241
190.209719	0.181483
196.472622	0.171098
202.941739	0.161095
209.623861	0.151475
216.526000	0.142235
223.655402	0.133363
231.019548	0.124838
238.626168	0.116631
246.483246	0.108733
254.599029	0.101150
262.982034	0.093883
271.641061	0.086927
280.585197	0.080271
289.823831	0.073896
299.366659	0.067781
309.223697	0.061923
319.405291	0.056325
329.922127	0.050988
340.785244	0.045905
352.006043	0.041068
363.596301	0.036458
375.568184	0.032060
387.934257	0.027874
400.707499	0.023901
413.901316	0.020140
427.529557	0.016585
441.606526	0.013225
456.146997	0.010044
471.166233	0.007030
486.679996	0.004187
502.704570	0.001512
519.256774	-0.000995
536.353981	-0.003341
554.014136	-0.005536
572.255775	-0.007593
591.098043	-0.009518
610.560718	-0.011310
630.664227	-0.012971
651.429669	-0.014503
672.878842	-0.015913
695.034256	-0.017210
717.919166	-0.018404
741.557592	-0.019499
765.974344	-0.020495
791.195049	-0.021393
817.246178	-0.022197
844.155076	-0.022912
871.949983	-0.023547
900.660075	-0.024108
930.315484	-0.024598
960.947335	-0.025016
992.587781	-0.025365
1025.270029	-0.025648
1059.028383	-0.025869
1093.898275	-0.026036
1129.916304	-0.026153
1167.120273	-0.026221
1205.549231	-0.026241
1245.243514	-0.026215
1286.244782	-0.026145
1328.596070	-0.026036
1372.341830	-0.025893
1417.527976	-0.025719
1464.201935	-0.025514
1512.412695	-0.025279
1562.210858	-0.025016
1613.648689	-0.024728
1666.780179	-0.024417
1721.661092	-0.024087
1778.349031	-0.023740
1836.903494	-0.023376
1897.385940	-0.022996
1959.859848	-0.022602
2024.390792	-0.022195
2091.046502	-0.021778
2159.896937	-0.021353
2231.014363	-0.020921
2304.473424	-0.020482
2380.351219	-0.020038
2458.727390	-0.019589
2539.684199	-0.019137
2623.306617	-0.018682
2709.682412	-0.018227
2798.902242	-0.017772
2891.059752	-0.017318
2986.251668	-0.016864
3084.577903	-0.016413
3186.141657	-0.015964
3291.049530	-0.015518
3399.411631	-0.015077
3511.341697	-0.014640
3626.957206	-0.014207
3746.379506	-0.013781
3869.733942	-0.013360
3997.149984	-0.012945
4128.761364	-0.012536
4264.706222	-0.012134
4405.127241	-0.011739
4550.171806	-0.011351
4699.992152	-0.010971
4854.745529	-0.010599
5014.594363	-0.010234
5179.706428	-0.009877
5350.255024	-0.009528
5526.419155	-0.009187
5708.383719	-0.008855
5896.339705	-0.008530
6090.484387	-0.008215
6291.021535	-0.007907
6498.161632	-0.007607
6712.122086	-0.007315
6933.127467	-0.007031
7161.409739	-0.006756
7397.208503	-0.006489
7640.771249	-0.006230
7892.353617	-0.005978
8152.219662	-0.005734
8420.642136	-0.005498
8697.902770	-0.005269
8984.292573	-0.005048
9280.112134	-0.004835
9585.671940	-0.004629
9901.292701	-0.004429
10227.305688	-0.004236
10564.053079	-0.004050
10911.888316	-0.003871
11271.176483	-0.003698
11642.294682	-0.003532
12025.632432	-0.003372
12421.592078	-0.003218
12830.589211	-0.003070
13253.053110	-0.002927
13689.427184	-0.002790
14140.169443	-0.002658
14605.752981	-0.002532
15086.666463	-0.002411
15583.414650	-0.002294
16096.518920	-0.002183
16626.517817	-0.002076
17173.967620	-0.001973
17739.442922	-0.001875
18323.537237	-0.001782
18926.863620	-0.001692
19550.055311	-0.001606
20193.766402	-0.001524
20858.672521	-0.001445
21545.471542	-0.001371
22254.884317	-0.001299
22987.655434	-0.001231
23744.553997	-0.001166
24526.374433	-0.001104
25333.937327	-0.001045
26168.090284	-0.000989
27029.708815	-0.000935
27919.697262	-0.000884
28838.989740	-0.000836
29788.551122	-0.000790
30769.378053	-0.000746
31782.499991	-0.000704
32828.980291	-0.000665
33909.917321	-0.000627
35026.445614	-0.000592
36179.737058	-0.000558
37371.002129	-0.000526
38601.491157	-0.000495
39872.495642	-0.000466
41185.349610	-0.000439
42541.431008	-0.000413
43942.163156	-0.000389
45389.016239	-0.000366
46883.508848	-0.000344
48427.209577	-0.000323
50021.738667	-0.000303
51668.769710	-0.000285
53370.031399	-0.000268
55127.309351	-0.000251
56942.447973	-0.000236
58817.352403	-0.000221
60753.990510	-0.000207
62754.394953	-0.000194
64820.665325	-0.000182
66954.970346	-0.000170
69159.550145	-0.000159
71436.718613	-0.000149
