# Velocity	Xi_G_fit
1.000000	1.559758
1.025914	1.559530
1.052163	1.559298
1.078753	1.559064
1.105687	1.558827
1.132971	1.558587
1.160607	1.558343
1.188602	1.558096
1.216960	1.557847
1.245685	1.557594
1.274782	1.557337
1.304256	1.557078
1.334112	1.556815
1.364355	1.556548
1.394990	1.556278
1.426022	1.556005
1.457455	1.555728
1.489296	1.555448
1.521550	1.555163
1.554222	1.554876
1.587316	1.554584
1.620840	1.554289
1.654798	1.553990
1.689196	1.553687
1.724040	1.553380
1.759335	1.553069
1.795088	1.552754
1.831303	1.552435
1.867988	1.552112
1.905149	1.551784
1.942790	1.551453
1.980920	1.551117
2.019543	1.550777
2.058667	1.550432
2.098298	1.550083
2.138443	1.549729
2.179107	1.549371
2.220299	1.549008
2.262024	1.548640
2.304290	1.548268
2.347103	1.547891
2.390471	1.547509
2.434401	1.547122
2.478901	1.546730
2.523976	1.546333
2.569636	1.545931
2.615888	1.545523
2.662739	1.545110
2.710197	1.544692
2.758269	1.544269
2.806965	1.543840
2.856291	1.543405
2.906257	1.542965
2.956870	1.542519
3.008139	1.542068
3.060072	1.541610
3.112678	1.541147
3.165966	1.540677
3.219944	1.540202
3.274621	1.539720
3.330007	1.539232
3.386111	1.538738
3.442942	1.538237
3.500508	1.537730
3.558821	1.537217
3.617889	1.536696
3.677723	1.536169
3.738332	1.535635
3.799726	1.535094
3.861916	1.534547
3.924911	1.533992
3.988723	1.533430
4.053362	1.532860
4.118838	1.532283
4.185162	1.531699
4.252346	1.531107
4.320400	1.530508
4.389336	1.529901
4.459165	1.529285
4.529899	1.528662
4.601550	1.528031
4.674129	1.527392
4.747648	1.526744
4.822120	1.526088
4.897556	1.525423
4.973971	1.524750
5.051375	1.524068
5.129782	1.523378
5.209205	1.522678
5.289657	1.521969
5.371152	1.521251
5.453703	1.520524
5.537323	1.519788
5.622026	1.519041
5.707827	1.518286
5.794740	1.517520
5.882779	1.516744
5.971959	1.515959
6.062294	1.515163
6.153799	1.514357
6.246491	1.513540
6.340383	1.512713
6.435492	1.511875
6.531833	1.511027
6.629422	1.510167
6.728276	1.509296
6.828411	1.508414
6.929843	1.507521
7.032589	1.506616
7.136667	1.505699
7.242093	1.504770
7.348885	1.503829
7.457061	1.502876
7.566639	1.501911
7.677636	1.500933
7.790071	1.499943
7.903964	1.498939
8.019332	1.497923
8.136194	1.496894
8.254571	1.495851
8.374482	1.494795
8.495947	1.493725
8.618985	1.492641
8.743617	1.491543
8.869865	1.490431
8.997748	1.489304
9.127288	1.488163
9.258506	1.487007
9.391425	1.485836
9.526066	1.484650
9.662451	1.483449
9.800604	1.482232
9.940547	1.480999
10.082302	1.479750
10.225895	1.478485
10.371348	1.477204
10.518686	1.475906
10.667932	1.474591
10.819113	1.473259
10.972252	1.471910
11.127376	1.470544
11.284509	1.469159
11.443679	1.467757
11.604911	1.466337
11.768231	1.464898
11.933668	1.463441
12.101249	1.461965
12.271001	1.460469
12.442952	1.458954
12.617132	1.457420
12.793568	1.455866
12.972290	1.454291
13.153328	1.452697
13.336711	1.451081
13.522471	1.449445
13.710638	1.447787
13.901242	1.446108
14.094317	1.444407
14.289892	1.442684
14.488002	1.440939
14.688679	1.439171
14.891956	1.437381
15.097867	1.435567
15.306446	1.433729
15.517727	1.431859
15.731746	1.429954
15.948538	1.428014
16.168139	1.426039
16.390586	1.424028
16.615914	1.421980
16.844162	1.419896
17.075368	1.417773
17.309569	1.415611
17.546804	1.413411
17.787114	1.411170
18.030537	1.408889
18.277114	1.406566
18.526887	1.404202
18.779895	1.401795
19.036181	1.399345
19.295789	1.396851
19.558760	1.394312
19.825138	1.391728
20.094968	1.389098
20.368294	1.386421
20.645161	1.383697
20.925616	1.380924
21.209704	1.378103
21.497474	1.375233
21.788972	1.372313
22.084247	1.369342
22.383348	1.366319
22.686324	1.363245
22.993226	1.360117
23.304104	1.356937
23.619011	1.353702
23.937997	1.350413
24.261117	1.347068
24.588423	1.343668
24.919971	1.340211
25.255814	1.336697
25.596008	1.333125
25.940611	1.329494
26.289678	1.325805
26.643269	1.322056
27.001440	1.318247
27.364253	1.314377
27.731766	1.310446
28.104042	1.306453
28.481140	1.302398
28.863125	1.298280
29.250060	1.294098
29.642007	1.289853
30.039034	1.285543
30.441204	1.281168
30.848585	1.276728
31.261245	1.272223
31.679251	1.267651
32.102674	1.263013
