# Velocity	Xi_G_fit
1.000000	1.504476
1.025914	1.504157
1.052163	1.503833
1.078753	1.503506
1.105687	1.503174
1.132971	1.502838
1.160607	1.502497
1.188602	1.502152
1.216960	1.501803
1.245685	1.501449
1.274782	1.501091
1.304256	1.500728
1.334112	1.500360
1.364355	1.499987
1.394990	1.499610
1.426022	1.499227
1.457455	1.498840
1.489296	1.498448
1.521550	1.498051
1.554222	1.497648
1.587316	1.497240
1.620840	1.496827
1.654798	1.496409
1.689196	1.495985
1.724040	1.495556
1.759335	1.495121
1.795088	1.494681
1.831303	1.494235
1.867988	1.493783
1.905149	1.493325
1.942790	1.492861
1.980920	1.492391
2.019543	1.491916
2.058667	1.491434
2.098298	1.490945
2.138443	1.490451
2.179107	1.489950
2.220299	1.489442
2.262024	1.488928
2.304290	1.488408
2.347103	1.487880
2.390471	1.487346
2.434401	1.486805
2.478901	1.486256
2.523976	1.485701
2.569636	1.485139
2.615888	1.484569
2.662739	1.483992
2.710197	1.483407
2.758269	1.482815
2.806965	1.482215
2.856291	1.481607
2.906257	1.480992
2.956870	1.480368
3.008139	1.479736
3.060072	1.479097
3.112678	1.478449
3.165966	1.477792
3.219944	1.477127
3.274621	1.476453
3.330007	1.475771
3.386111	1.475080
3.442942	1.474380
3.500508	1.473671
3.558821	1.472952
3.617889	1.472225
3.677723	1.471487
3.738332	1.470741
3.799726	1.469984
3.861916	1.469218
3.924911	1.468442
3.988723	1.467656
4.053362	1.466860
4.118838	1.466053
4.185162	1.465236
4.252346	1.464408
4.320400	1.463570
4.389336	1.462721
4.459165	1.461860
4.529899	1.460989
4.601550	1.460106
4.674129	1.459212
4.747648	1.458306
4.822120	1.457389
4.897556	1.456460
4.973971	1.455518
5.051375	1.454565
5.129782	1.453599
5.209205	1.452620
5.289657	1.451629
5.371152	1.450625
5.453703	1.449608
5.537323	1.448578
5.622026	1.447534
5.707827	1.446477
5.794740	1.445407
5.882779	1.444322
5.971959	1.443223
6.062294	1.442110
6.153799	1.440983
6.246491	1.439841
6.340383	1.438685
6.435492	1.437513
6.531833	1.436326
6.629422	1.435124
6.728276	1.433906
6.828411	1.432672
6.929843	1.431423
7.032589	1.430157
7.136667	1.428875
7.242093	1.427576
7.348885	1.426260
7.457061	1.424927
7.566639	1.423578
7.677636	1.422210
7.790071	1.420825
7.903964	1.419422
8.019332	1.418001
8.136194	1.416561
8.254571	1.415102
8.374482	1.413625
8.495947	1.412129
8.618985	1.410613
8.743617	1.409078
8.869865	1.407522
8.997748	1.405947
9.127288	1.404351
9.258506	1.402734
9.391425	1.401097
9.526066	1.399438
9.662451	1.397758
9.800604	1.396056
9.940547	1.394332
10.082302	1.392586
10.225895	1.390817
10.371348	1.389025
10.518686	1.387209
10.667932	1.385371
10.819113	1.383508
10.972252	1.381622
11.127376	1.379711
11.284509	1.377775
11.443679	1.375814
11.604911	1.373828
11.768231	1.371816
11.933668	1.369777
12.101249	1.367713
12.271001	1.365622
12.442952	1.363503
12.617132	1.361357
12.793568	1.359184
12.972290	1.356982
13.153328	1.354752
13.336711	1.352493
13.522471	1.350204
13.710638	1.347886
13.901242	1.345538
14.094317	1.343159
14.289892	1.340750
14.488002	1.338309
14.688679	1.335837
14.891956	1.333333
15.097867	1.330796
15.306446	1.328226
15.517727	1.325610
15.731746	1.322948
15.948538	1.320237
16.168139	1.317479
16.390586	1.314672
16.615914	1.311815
16.844162	1.308909
17.075368	1.305952
17.309569	1.302943
17.546804	1.299883
17.787114	1.296771
18.030537	1.293605
18.277114	1.290386
18.526887	1.287112
18.779895	1.283783
19.036181	1.280399
19.295789	1.276959
19.558760	1.273462
19.825138	1.269908
20.094968	1.266296
20.368294	1.262626
20.645161	1.258897
20.925616	1.255108
21.209704	1.251259
21.497474	1.247349
21.788972	1.243379
22.084247	1.239346
22.383348	1.235252
22.686324	1.231094
22.993226	1.226874
23.304104	1.222590
23.619011	1.218242
23.937997	1.213830
24.261117	1.209353
24.588423	1.204810
24.919971	1.200202
25.255814	1.195527
25.596008	1.190786
25.940611	1.185979
26.289678	1.181104
26.643269	1.176163
27.001440	1.171153
27.364253	1.166076
27.731766	1.160930
28.104042	1.155717
28.481140	1.150435
28.863125	1.145084
29.250060	1.139665
29.642007	1.134177
30.039034	1.128620
30.441204	1.122994
30.848585	1.117300
31.261245	1.111536
31.679251	1.105704
32.102674	1.099802
32.531583	1.093832
32.966049	1.087794
33.406145	1.081687
33.851942	1.075512
34.303516	1.069269
34.760941	1.062958
35.224293	1.056580
35.693648	1.050135
36.169085	1.043624
36.650682	1.037047
37.138519	1.030404
37.632677	1.023696
38.133238	1.016924
38.640284	1.010088
39.153900	1.003189
39.674172	0.996228
40.201184	0.989205
40.735024	0.982122
41.275782	0.974979
41.823546	0.967778
42.378407	0.960518
42.940458	0.953202
43.509791	0.945830
44.086501	0.938404
44.670684	0.930924
45.262435	0.923393
45.861854	0.915810
46.469040	0.908178
47.084092	0.900498
47.707114	0.892771
48.338209	0.884998
48.977480	0.877182
49.625035	0.869323
50.280979	0.861424
50.945423	0.853485
51.618476	0.845508
