# Velocity	Xi_G_fit
1.000000	1.440789
1.025914	1.440451
1.052163	1.440108
1.078753	1.439761
1.105687	1.439409
1.132971	1.439053
1.160607	1.438692
1.188602	1.438326
1.216960	1.437956
1.245685	1.437581
1.274782	1.437201
1.304256	1.436816
1.334112	1.436426
1.364355	1.436031
1.394990	1.435631
1.426022	1.435226
1.457455	1.434816
1.489296	1.434400
1.521550	1.433979
1.554222	1.433552
1.587316	1.433120
1.620840	1.432682
1.654798	1.432239
1.689196	1.431789
1.724040	1.431334
1.759335	1.430873
1.795088	1.430407
1.831303	1.429934
1.867988	1.429455
1.905149	1.428969
1.942790	1.428478
1.980920	1.427980
2.019543	1.427476
2.058667	1.426965
2.098298	1.426447
2.138443	1.425923
2.179107	1.425392
2.220299	1.424854
2.262024	1.424309
2.304290	1.423757
2.347103	1.423198
2.390471	1.422632
2.434401	1.422058
2.478901	1.421477
2.523976	1.420888
2.569636	1.420292
2.615888	1.419688
2.662739	1.419076
2.710197	1.418457
2.758269	1.417829
2.806965	1.417193
2.856291	1.416549
2.906257	1.415896
2.956870	1.415235
3.008139	1.414566
3.060072	1.413888
3.112678	1.413201
3.165966	1.412505
3.219944	1.411800
3.274621	1.411086
3.330007	1.410363
3.386111	1.409630
3.442942	1.408888
3.500508	1.408136
3.558821	1.407375
3.617889	1.406603
3.677723	1.405822
3.738332	1.405031
3.799726	1.404229
3.861916	1.403417
3.924911	1.402594
3.988723	1.401761
4.053362	1.400917
4.118838	1.400062
4.185162	1.399196
4.252346	1.398318
4.320400	1.397430
4.389336	1.396529
4.459165	1.395617
4.529899	1.394694
4.601550	1.393758
4.674129	1.392810
4.747648	1.391850
4.822120	1.390878
4.897556	1.389893
4.973971	1.388895
5.051375	1.387884
5.129782	1.386860
5.209205	1.385823
5.289657	1.384772
5.371152	1.383708
5.453703	1.382630
5.537323	1.381538
5.622026	1.380432
5.707827	1.379312
5.794740	1.378177
5.882779	1.377027
5.971959	1.375862
6.062294	1.374683
6.153799	1.373488
6.246491	1.372277
6.340383	1.371051
6.435492	1.369809
6.531833	1.368551
6.629422	1.367277
6.728276	1.365986
6.828411	1.364678
6.929843	1.363354
7.032589	1.362012
7.136667	1.360653
7.242093	1.359276
7.348885	1.357882
7.457061	1.356469
7.566639	1.355038
7.677636	1.353589
7.790071	1.352120
7.903964	1.350633
8.019332	1.349127
8.136194	1.347601
8.254571	1.346055
8.374482	1.344489
8.495947	1.342903
8.618985	1.341296
8.743617	1.339668
8.869865	1.338020
8.997748	1.336350
9.127288	1.334658
9.258506	1.332945
9.391425	1.331209
9.526066	1.329451
9.662451	1.327670
9.800604	1.325866
9.940547	1.324038
10.082302	1.322187
10.225895	1.320312
10.371348	1.318413
10.518686	1.316489
10.667932	1.314540
10.819113	1.312565
10.972252	1.310566
11.127376	1.308540
11.284509	1.306488
11.443679	1.304409
11.604911	1.302304
11.768231	1.300171
11.933668	1.298011
12.101249	1.295822
12.271001	1.293606
12.442952	1.291360
12.617132	1.289086
12.793568	1.286782
12.972290	1.284448
13.153328	1.282084
13.336711	1.279689
13.522471	1.277263
13.710638	1.274806
13.901242	1.272317
14.094317	1.269796
14.289892	1.267242
14.488002	1.264655
14.688679	1.262034
14.891956	1.259380
15.097867	1.256691
15.306446	1.253967
15.517727	1.251196
15.731746	1.248377
15.948538	1.245509
16.168139	1.242592
16.390586	1.239625
16.615914	1.236608
16.844162	1.233540
17.075368	1.230421
17.309569	1.227249
17.546804	1.224025
17.787114	1.220748
18.030537	1.217417
18.277114	1.214032
18.526887	1.210592
18.779895	1.207097
19.036181	1.203546
19.295789	1.199939
19.558760	1.196275
19.825138	1.192553
20.094968	1.188774
20.368294	1.184936
20.645161	1.181039
20.925616	1.177084
21.209704	1.173068
21.497474	1.168992
21.788972	1.164856
22.084247	1.160658
22.383348	1.156399
22.686324	1.152079
22.993226	1.147696
23.304104	1.143250
23.619011	1.138742
23.937997	1.134171
24.261117	1.129536
24.588423	1.124837
24.919971	1.120075
25.255814	1.115248
25.596008	1.110356
25.940611	1.105400
26.289678	1.100379
26.643269	1.095294
27.001440	1.090143
27.364253	1.084926
27.731766	1.079645
28.104042	1.074298
28.481140	1.068886
28.863125	1.063409
29.250060	1.057866
29.642007	1.052258
30.039034	1.046585
30.441204	1.040847
30.848585	1.035044
31.261245	1.029177
31.679251	1.023245
32.102674	1.017249
32.531583	1.011189
32.966049	1.005066
33.406145	0.998879
33.851942	0.992630
34.303516	0.986319
34.760941	0.979946
35.224293	0.973511
35.693648	0.967016
36.169085	0.960461
36.650682	0.953846
37.138519	0.947173
37.632677	0.940441
38.133238	0.933652
38.640284	0.926807
39.153900	0.919906
39.674172	0.912950
40.201184	0.905941
40.735024	0.898878
41.275782	0.891764
41.823546	0.884599
42.378407	0.877385
42.940458	0.870122
43.509791	0.862812
44.086501	0.855455
44.670684	0.848054
45.262435	0.840610
45.861854	0.833123
46.469040	0.825596
47.084092	0.818029
47.707114	0.810425
48.338209	0.802784
48.977480	0.795109
49.625035	0.787400
50.280979	0.779660
50.945423	0.771890
51.618476	0.764092
52.300250	0.756267
52.990857	0.748418
53.690412	0.740546
54.399032	0.732653
55.116833	0.724740
55.843934	0.716810
56.580457	0.708865
57.326523	0.700907
58.082255	0.692936
58.847779	0.684956
59.623222	0.676969
60.408713	0.668975
61.204381	0.660978
62.010358	0.652980
62.826779	0.644982
63.653777	0.636986
64.491491	0.628995
65.340060	0.621010
66.199623	0.613034
67.070323	0.605069
67.952305	0.597116
68.845715	0.589178
69.750701	0.581257
70.667412	0.573355
71.596001	0.565473
72.536622	0.557615
73.489431	0.549781
74.454585	0.541974
75.432244	0.534196
76.422571	0.526448
77.425729	0.518734
78.441885	0.511053
79.471208	0.503410
80.513867	0.495804
81.570036	0.488238
82.639890	0.480715
83.723606	0.473234
84.821363	0.465800
85.933344	0.458412
87.059733	0.451072
88.200716	0.443783
89.356483	0.436545
90.527225	0.429361
91.713136	0.422231
92.914413	0.415157
94.131255	0.408141
95.363864	0.401183
96.612443	0.394286
97.877200	0.387449
99.158344	0.380675
100.456088	0.373965
101.770647	0.367319
103.102239	0.360739
104.451083	0.354225
105.817405	0.347779
107.201430	0.341401
108.603388	0.335092
110.023511	0.328852
111.462034	0.322684
112.919196	0.316586
114.395238	0.310560
115.890406	0.304607
117.404946	0.298726
118.939110	0.292917
120.493152	0.287183
122.067329	0.281522
123.661903	0.275934
125.277138	0.270421
126.913301	0.264982
128.570664	0.259618
130.249501	0.254327
131.950091	0.249111
133.672716	0.243969
135.417660	0.238900
137.185213	0.233906
138.975668	0.228985
140.789322	0.224137
142.626476	0.219363
144.487433	0.214661
146.372503	0.210031
148.281997	0.205473
150.216233	0.200986
152.175530	0.196570
154.160214	0.192224
156.170613	0.187948
158.207061	0.183741
160.269894	0.179603
162.359456	0.175532
164.476092	0.171528
166.620153	0.167591
168.791995	0.163720
170.991977	0.159913
173.220464	0.156171
175.477825	0.152492
177.764435	0.148876
180.080672	0.145322
182.426921	0.141829
184.803570	0.138396
187.211012	0.135022
189.649648	0.131708
192.119881	0.128451
194.622121	0.125251
197.156782	0.122107
199.724284	0.119019
202.325054	0.115985
204.959521	0.113005
207.628123	0.110078
210.331302	0.107204
213.069505	0.104380
215.843187	0.101607
218.652808	0.098884
221.498833	0.096210
224.381733	0.093584
227.301988	0.091005
230.260079	0.088473
233.256498	0.085987
236.291742	0.083547
239.366313	0.081151
242.480721	0.078798
245.635482	0.076489
248.831120	0.074222
252.068163	0.071997
255.347148	0.069813
258.668618	0.067669
262.033125	0.065565
265.441225	0.063500
268.893484	0.061474
272.390473	0.059486
275.932773	0.057535
279.520970	0.055621
283.155659	0.053742
286.837442	0.051900
290.566930	0.050093
294.344740	0.048320
298.171500	0.046581
302.047842	0.044875
305.974410	0.043203
309.951854	0.041563
313.980834	0.039955
318.062017	0.038379
322.196079	0.036833
326.383706	0.035318
330.625592	0.033833
334.922439	0.032378
339.274961	0.030952
343.683878	0.029555
348.149921	0.028186
352.673830	0.026845
357.256355	0.025532
361.898255	0.024246
366.600300	0.022986
371.363269	0.021753
376.187952	0.020546
381.075148	0.019364
386.025667	0.018208
391.040329	0.017076
396.119966	0.015969
401.265419	0.014886
406.477541	0.013827
411.757197	0.012791
417.105261	0.011778
422.522619	0.010788
428.010169	0.009821
433.568821	0.008875
439.199497	0.007951
444.903128	0.007049
450.680661	0.006167
456.533053	0.005307
462.461274	0.004467
468.466307	0.003647
474.549146	0.002846
480.710800	0.002066
486.952291	0.001304
493.274651	0.000562
499.678931	-0.000162
506.166190	-0.000867
512.737503	-0.001555
519.393961	-0.002224
526.136666	-0.002876
532.966736	-0.003511
539.885303	-0.004128
546.893512	-0.004730
553.992527	-0.005314
561.183523	-0.005883
568.467692	-0.006435
575.846242	-0.006972
583.320395	-0.007493
590.891390	-0.008000
598.560482	-0.008491
606.328942	-0.008968
614.198057	-0.009430
622.169131	-0.009878
630.243486	-0.010312
638.422460	-0.010733
646.707409	-0.011140
655.099704	-0.011534
663.600739	-0.011915
672.211920	-0.012283
680.934676	-0.012638
689.770452	-0.012982
698.720712	-0.013313
707.786940	-0.013632
716.970639	-0.013940
726.273330	-0.014236
735.696555	-0.014521
745.241877	-0.014795
754.910876	-0.015058
764.705156	-0.015310
774.626339	-0.015552
784.676071	-0.015784
794.856016	-0.016006
805.167862	-0.016218
815.613318	-0.016420
826.194115	-0.016613
836.912006	-0.016796
847.768769	-0.016971
858.766201	-0.017136
869.906127	-0.017293
881.190391	-0.017441
892.620865	-0.017581
904.199443	-0.017713
915.928043	-0.017836
927.808611	-0.017952
939.843113	-0.018060
952.033546	-0.018161
964.381930	-0.018254
976.890310	-0.018340
989.560760	-0.018419
1002.395381	-0.018492
1015.396299	-0.018557
1028.565669	-0.018616
1041.905673	-0.018668
1055.418523	-0.018715
1069.106457	-0.018755
1082.971745	-0.018789
1097.016685	-0.018817
1111.243604	-0.018839
1125.654860	-0.018856
1140.252842	-0.018868
1155.039968	-0.018874
1170.018690	-0.018875
1185.191491	-0.018871
1200.560884	-0.018862
1216.129417	-0.018849
1231.899671	-0.018831
1247.874258	-0.018808
1264.055827	-0.018781
1280.447059	-0.018749
1297.050672	-0.018714
1313.869416	-0.018674
1330.906079	-0.018631
1348.163485	-0.018583
1365.644494	-0.018532
1383.352003	-0.018478
1401.288947	-0.018419
1419.458298	-0.018358
1437.863069	-0.018293
1456.506309	-0.018225
1475.391107	-0.018154
1494.520595	-0.018080
1513.897942	-0.018003
1533.526359	-0.017923
1553.409101	-0.017841
1573.549462	-0.017756
1593.950780	-0.017668
1614.616436	-0.017578
