# Velocity	Xi_G_fit
1.000000	1.556848
1.025914	1.556640
1.052163	1.556430
1.078753	1.556216
1.105687	1.556000
1.132971	1.555781
1.160607	1.555559
1.188602	1.555334
1.216960	1.555106
1.245685	1.554876
1.274782	1.554642
1.304256	1.554405
1.334112	1.554166
1.364355	1.553923
1.394990	1.553677
1.426022	1.553428
1.457455	1.553175
1.489296	1.552920
1.521550	1.552661
1.554222	1.552398
1.587316	1.552133
1.620840	1.551864
1.654798	1.551591
1.689196	1.551315
1.724040	1.551035
1.759335	1.550752
1.795088	1.550464
1.831303	1.550174
1.867988	1.549879
1.905149	1.549581
1.942790	1.549279
1.980920	1.548972
2.019543	1.548662
2.058667	1.548348
2.098298	1.548030
2.138443	1.547708
2.179107	1.547381
2.220299	1.547050
2.262024	1.546715
2.304290	1.546376
2.347103	1.546032
2.390471	1.545684
2.434401	1.545331
2.478901	1.544974
2.523976	1.544612
2.569636	1.544245
2.615888	1.543874
2.662739	1.543498
2.710197	1.543117
2.758269	1.542731
2.806965	1.542340
2.856291	1.541944
2.906257	1.541543
2.956870	1.541136
3.008139	1.540725
3.060072	1.540308
3.112678	1.539885
3.165966	1.539457
3.219944	1.539024
3.274621	1.538585
3.330007	1.538140
3.386111	1.537690
3.442942	1.537233
3.500508	1.536771
3.558821	1.536303
3.617889	1.535829
3.677723	1.535348
3.738332	1.534862
3.799726	1.534369
3.861916	1.533869
3.924911	1.533364
3.988723	1.532851
4.053362	1.532332
4.118838	1.531806
4.185162	1.531274
4.252346	1.530735
4.320400	1.530188
4.389336	1.529635
4.459165	1.529074
4.529899	1.528506
4.601550	1.527931
4.674129	1.527348
4.747648	1.526758
4.822120	1.526160
4.897556	1.525554
4.973971	1.524940
5.051375	1.524319
5.129782	1.523689
5.209205	1.523052
5.289657	1.522406
5.371152	1.521751
5.453703	1.521089
5.537323	1.520417
5.622026	1.519737
5.707827	1.519048
5.794740	1.518350
5.882779	1.517643
5.971959	1.516927
6.062294	1.516202
6.153799	1.515467
6.246491	1.514723
6.340383	1.513969
6.435492	1.513205
6.531833	1.512432
6.629422	1.511648
6.728276	1.510855
6.828411	1.510051
6.929843	1.509236
7.032589	1.508411
7.136667	1.507576
7.242093	1.506729
7.348885	1.505872
7.457061	1.505003
7.566639	1.504123
7.677636	1.503232
7.790071	1.502329
7.903964	1.501415
8.019332	1.500488
8.136194	1.499550
8.254571	1.498600
8.374482	1.497637
8.495947	1.496662
8.618985	1.495674
8.743617	1.494673
8.869865	1.493659
8.997748	1.492632
9.127288	1.491592
9.258506	1.490539
9.391425	1.489472
9.526066	1.488390
9.662451	1.487295
9.800604	1.486186
9.940547	1.485062
10.082302	1.483924
10.225895	1.482771
10.371348	1.481603
10.518686	1.480420
10.667932	1.479222
10.819113	1.478008
10.972252	1.476779
11.127376	1.475533
11.284509	1.474271
11.443679	1.472993
11.604911	1.471699
11.768231	1.470388
11.933668	1.469059
12.101249	1.467714
12.271001	1.466351
12.442952	1.464970
12.617132	1.463572
12.793568	1.462155
12.972290	1.460720
13.153328	1.459266
13.336711	1.457794
13.522471	1.456302
13.710638	1.454791
13.901242	1.453261
14.094317	1.451711
14.289892	1.450140
14.488002	1.448550
14.688679	1.446939
14.891956	1.445306
15.097867	1.443653
15.306446	1.441978
15.517727	1.440273
15.731746	1.438538
15.948538	1.436770
16.168139	1.434971
16.390586	1.433139
16.615914	1.431274
16.844162	1.429376
17.075368	1.427442
17.309569	1.425474
17.546804	1.423470
17.787114	1.421430
18.030537	1.419353
18.277114	1.417238
18.526887	1.415085
18.779895	1.412894
19.036181	1.410663
19.295789	1.408392
19.558760	1.406080
19.825138	1.403726
20.094968	1.401331
20.368294	1.398893
20.645161	1.396412
20.925616	1.393887
21.209704	1.391317
21.497474	1.388702
21.788972	1.386041
22.084247	1.383333
22.383348	1.380579
22.686324	1.377776
22.993226	1.374925
23.304104	1.372024
23.619011	1.369074
23.937997	1.366073
24.261117	1.363022
24.588423	1.359918
24.919971	1.356762
25.255814	1.353553
25.596008	1.350291
25.940611	1.346974
26.289678	1.343602
26.643269	1.340175
27.001440	1.336692
27.364253	1.333152
27.731766	1.329554
28.104042	1.325899
28.481140	1.322185
28.863125	1.318412
29.250060	1.314579
29.642007	1.310686
30.039034	1.306733
30.441204	1.302719
30.848585	1.298642
31.261245	1.294504
31.679251	1.290304
32.102674	1.286040
32.531583	1.281714
32.966049	1.277323
33.406145	1.272869
33.851942	1.268351
34.303516	1.263768
34.760941	1.259120
35.224293	1.254407
35.693648	1.249629
36.169085	1.244785
36.650682	1.239876
37.138519	1.234900
37.632677	1.229859
38.133238	1.224751
38.640284	1.219577
39.153900	1.214337
39.674172	1.209029
40.201184	1.203655
40.735024	1.198214
41.275782	1.192705
41.823546	1.187129
42.378407	1.181485
42.940458	1.175772
43.509791	1.169992
44.086501	1.164143
44.670684	1.158224
45.262435	1.152237
45.861854	1.146180
46.469040	1.140054
47.084092	1.133857
47.707114	1.127591
48.338209	1.121255
48.977480	1.114850
49.625035	1.108375
50.280979	1.101833
50.945423	1.095222
51.618476	1.088545
52.300250	1.081802
52.990857	1.074995
53.690412	1.068126
54.399032	1.061195
55.116833	1.054206
55.843934	1.047160
56.580457	1.040058
57.326523	1.032904
58.082255	1.025698
58.847779	1.018444
59.623222	1.011143
60.408713	1.003796
61.204381	0.996405
62.010358	0.988973
62.826779	0.981500
63.653777	0.973988
64.491491	0.966438
65.340060	0.958851
66.199623	0.951228
67.070323	0.943571
67.952305	0.935880
68.845715	0.928157
69.750701	0.920401
70.667412	0.912616
71.596001	0.904801
72.536622	0.896958
73.489431	0.889087
74.454585	0.881192
75.432244	0.873272
76.422571	0.865330
77.425729	0.857366
78.441885	0.849383
79.471208	0.841382
80.513867	0.833365
81.570036	0.825334
82.639890	0.817290
83.723606	0.809235
84.821363	0.801172
85.933344	0.793101
87.059733	0.785025
88.200716	0.776946
89.356483	0.768865
90.527225	0.760785
91.713136	0.752707
92.914413	0.744633
94.131255	0.736564
95.363864	0.728503
96.612443	0.720451
97.877200	0.712410
99.158344	0.704382
100.456088	0.696368
101.770647	0.688370
103.102239	0.680389
104.451083	0.672427
105.817405	0.664486
107.201430	0.656566
108.603388	0.648669
110.023511	0.640797
111.462034	0.632951
112.919196	0.625132
114.395238	0.617342
115.890406	0.609582
117.404946	0.601853
118.939110	0.594156
120.493152	0.586493
122.067329	0.578866
123.661903	0.571274
125.277138	0.563720
126.913301	0.556204
128.570664	0.548727
130.249501	0.541292
131.950091	0.533898
133.672716	0.526547
135.417660	0.519239
137.185213	0.511976
138.975668	0.504759
140.789322	0.497589
142.626476	0.490466
144.487433	0.483391
146.372503	0.476366
148.281997	0.469391
150.216233	0.462467
152.175530	0.455594
154.160214	0.448775
156.170613	0.442008
158.207061	0.435296
160.269894	0.428639
162.359456	0.422037
164.476092	0.415492
166.620153	0.409004
168.791995	0.402573
170.991977	0.396200
173.220464	0.389887
175.477825	0.383632
177.764435	0.377437
180.080672	0.371302
182.426921	0.365228
184.803570	0.359214
187.211012	0.353262
189.649648	0.347372
192.119881	0.341542
194.622121	0.335775
197.156782	0.330070
199.724284	0.324426
202.325054	0.318845
204.959521	0.313325
207.628123	0.307867
210.331302	0.302471
213.069505	0.297137
215.843187	0.291863
218.652808	0.286651
221.498833	0.281500
224.381733	0.276408
227.301988	0.271377
230.260079	0.266406
233.256498	0.261494
236.291742	0.256640
239.366313	0.251845
242.480721	0.247107
245.635482	0.242427
248.831120	0.237803
252.068163	0.233236
255.347148	0.228725
258.668618	0.224268
262.033125	0.219866
265.441225	0.215518
268.893484	0.211223
272.390473	0.206982
275.932773	0.202792
279.520970	0.198654
283.155659	0.194568
286.837442	0.190532
290.566930	0.186546
294.344740	0.182610
298.171500	0.178723
302.047842	0.174884
305.974410	0.171093
309.951854	0.167350
313.980834	0.163654
318.062017	0.160005
322.196079	0.156402
326.383706	0.152845
330.625592	0.149333
334.922439	0.145865
339.274961	0.142443
343.683878	0.139064
348.149921	0.135729
352.673830	0.132438
357.256355	0.129189
361.898255	0.125983
366.600300	0.122820
371.363269	0.119698
376.187952	0.116618
381.075148	0.113580
386.025667	0.110582
391.040329	0.107626
396.119966	0.104709
401.265419	0.101833
406.477541	0.098997
411.757197	0.096200
417.105261	0.093443
422.522619	0.090725
428.010169	0.088046
433.568821	0.085406
439.199497	0.082804
444.903128	0.080240
450.680661	0.077713
456.533053	0.075225
462.461274	0.072774
468.466307	0.070360
474.549146	0.067983
480.710800	0.065643
486.952291	0.063340
493.274651	0.061072
499.678931	0.058841
506.166190	0.056645
512.737503	0.054485
519.393961	0.052360
526.136666	0.050271
532.966736	0.048216
539.885303	0.046196
546.893512	0.044210
553.992527	0.042259
561.183523	0.040341
568.467692	0.038457
575.846242	0.036606
583.320395	0.034788
590.891390	0.033004
598.560482	0.031251
606.328942	0.029532
614.198057	0.027844
622.169131	0.026188
630.243486	0.024564
638.422460	0.022971
646.707409	0.021409
655.099704	0.019878
663.600739	0.018377
672.211920	0.016907
680.934676	0.015466
689.770452	0.014056
698.720712	0.012674
707.786940	0.011322
716.970639	0.009998
726.273330	0.008703
735.696555	0.007436
745.241877	0.006197
754.910876	0.004985
764.705156	0.003801
774.626339	0.002644
784.676071	0.001513
794.856016	0.000409
805.167862	-0.000669
815.613318	-0.001721
826.194115	-0.002747
836.912006	-0.003749
847.768769	-0.004726
858.766201	-0.005678
869.906127	-0.006605
881.190391	-0.007509
892.620865	-0.008390
904.199443	-0.009246
915.928043	-0.010080
927.808611	-0.010891
939.843113	-0.011680
952.033546	-0.012447
964.381930	-0.013192
976.890310	-0.013915
989.560760	-0.014617
1002.395381	-0.015298
1015.396299	-0.015959
1028.565669	-0.016600
1041.905673	-0.017220
1055.418523	-0.017821
1069.106457	-0.018403
1082.971745	-0.018965
1097.016685	-0.019509
1111.243604	-0.020034
1125.654860	-0.020541
1140.252842	-0.021030
1155.039968	-0.021502
1170.018690	-0.021956
1185.191491	-0.022394
1200.560884	-0.022814
1216.129417	-0.023219
1231.899671	-0.023607
1247.874258	-0.023979
1264.055827	-0.024336
1280.447059	-0.024677
1297.050672	-0.025004
1313.869416	-0.025316
1330.906079	-0.025613
1348.163485	-0.025896
1365.644494	-0.026165
1383.352003	-0.026420
1401.288947	-0.026663
1419.458298	-0.026892
1437.863069	-0.027108
1456.506309	-0.027311
1475.391107	-0.027502
1494.520595	-0.027681
1513.897942	-0.027848
1533.526359	-0.028004
1553.409101	-0.028148
1573.549462	-0.028281
1593.950780	-0.028403
1614.616436	-0.028515
1635.549856	-0.028616
1656.754508	-0.028707
1678.233907	-0.028788
1699.991614	-0.028859
1722.031233	-0.028921
1744.356418	-0.028973
1766.970869	-0.029017
1789.878333	-0.029051
1813.082608	-0.029077
1836.587538	-0.029095
1860.397021	-0.029104
1884.515001	-0.029105
1908.945476	-0.029099
1933.692494	-0.029085
1958.760158	-0.029063
1984.152622	-0.029034
2009.874094	-0.028998
2035.928837	-0.028956
2062.321169	-0.028906
2089.055465	-0.028850
2116.136155	-0.028788
2143.567728	-0.028720
2171.354729	-0.028646
2199.501765	-0.028566
2228.013499	-0.028481
2256.894658	-0.028390
2286.150028	-0.028293
2315.784457	-0.028192
2345.802857	-0.028086
2376.210204	-0.027975
2407.011536	-0.027859
2438.211959	-0.027739
2469.816643	-0.027615
2501.830827	-0.027486
2534.259816	-0.027353
2567.108986	-0.027217
2600.383779	-0.027077
2634.089711	-0.026933
2668.232369	-0.026785
2702.817410	-0.026635
2737.850567	-0.026481
2773.337646	-0.026324
2809.284528	-0.026164
2845.697172	-0.026001
2882.581611	-0.025835
2919.943959	-0.025667
2957.790409	-0.025496
2996.127232	-0.025323
3034.960782	-0.025148
3074.297495	-0.024971
3114.143892	-0.024791
3154.506575	-0.024610
3195.392234	-0.024427
3236.807646	-0.024242
3278.759674	-0.024055
3321.255271	-0.023867
3364.301480	-0.023677
3407.905436	-0.023486
3452.074366	-0.023294
3496.815588	-0.023101
3542.136519	-0.022906
3588.044671	-0.022711
3634.547650	-0.022514
3681.653165	-0.022317
3729.369023	-0.022119
3777.703131	-0.021920
3826.663501	-0.021721
3876.258247	-0.021521
3926.495588	-0.021321
3977.383850	-0.021120
4028.931468	-0.020920
4081.146984	-0.020718
4134.039053	-0.020517
4187.616440	-0.020315
4241.888026	-0.020114
4296.862804	-0.019912
4352.549886	-0.019711
4408.958502	-0.019509
4466.098000	-0.019308
4523.977850	-0.019107
4582.607644	-0.018906
4641.997101	-0.018705
4702.156062	-0.018505
4763.094498	-0.018306
4824.822509	-0.018106
4887.350325	-0.017908
4950.688310	-0.017710
5014.846960	-0.017512
5079.836908	-0.017315
5145.668927	-0.017119
5212.353925	-0.016923
5279.902957	-0.016729
5348.327216	-0.016535
5417.638043	-0.016341
5487.846925	-0.016149
5558.965498	-0.015958
5631.005549	-0.015767
5703.979018	-0.015578
5777.897998	-0.015389
5852.774741	-0.015202
5928.621656	-0.015015
6005.451314	-0.014830
6083.276448	-0.014645
6162.109957	-0.014462
6241.964905	-0.014280
6322.854527	-0.014099
6404.792231	-0.013919
6487.791595	-0.013740
6571.866375	-0.013563
6657.030506	-0.013387
6743.298102	-0.013212
6830.683461	-0.013038
6919.201066	-0.012866
7008.865586	-0.012695
7099.691882	-0.012525
7191.695009	-0.012357
7284.890212	-0.012190
7379.292939	-0.012024
7474.918835	-0.011860
7571.783748	-0.011697
7669.903732	-0.011535
7769.295050	-0.011375
7869.974174	-0.011216
7971.957789	-0.011059
8075.262798	-0.010903
8179.906322	-0.010748
8285.905705	-0.010595
8393.278514	-0.010443
8502.042544	-0.010293
8612.215821	-0.010144
8723.816605	-0.009997
8836.863392	-0.009851
8951.374917	-0.009706
9067.370160	-0.009563
9184.868344	-0.009421
9303.888943	-0.009281
9424.451683	-0.009142
9546.576546	-0.009005
9670.283771	-0.008869
9795.593861	-0.008735
9922.527584	-0.008602
10051.105979	-0.008470
10181.350353	-0.008340
10313.282294	-0.008212
10446.923667	-0.008084
10582.296622	-0.007959
10719.423593	-0.007834
10858.327309	-0.007711
10999.030789	-0.007590
11141.557353	-0.007470
11285.930623	-0.007351
11432.174527	-0.007234
11580.313302	-0.007118
11730.371500	-0.007004
11882.373991	-0.006891
12036.345966	-0.006779
12192.312945	-0.006669
12350.300775	-0.006560
12510.335643	-0.006452
12672.444069	-0.006346
12836.652923	-0.006241
13002.989418	-0.006137
13171.481122	-0.006035
13342.155961	-0.005934
13515.042220	-0.005835
13690.168554	-0.005736
13867.563986	-0.005639
14047.257918	-0.005544
14229.280130	-0.005449
14413.660790	-0.005356
14600.430456	-0.005264
14789.620083	-0.005174
