# Velocity	Xi_G_fit
0.000000	1.149289
1.000000	1.147048
1.028171	1.146985
1.057136	1.146919
1.086916	1.146850
1.117535	1.146777
1.149018	1.146701
1.181386	1.146620
1.214667	1.146535
1.248886	1.146446
1.284068	1.146352
1.320241	1.146254
1.357434	1.146150
1.395674	1.146040
1.434991	1.145925
1.475416	1.145804
1.516980	1.145677
1.559715	1.145543
1.603654	1.145403
1.648830	1.145255
1.695279	1.145099
1.743037	1.144935
1.792140	1.144763
1.842626	1.144582
1.894535	1.144391
1.947906	1.144191
2.002780	1.143981
2.059200	1.143760
2.117210	1.143527
2.176854	1.143283
2.238178	1.143026
2.301229	1.142756
2.366057	1.142473
2.432711	1.142175
2.501243	1.141862
2.571705	1.141533
2.644153	1.141188
2.718641	1.140826
2.795228	1.140445
2.873972	1.140046
2.954934	1.139627
3.038178	1.139188
3.123766	1.138727
3.211766	1.138243
3.302244	1.137736
3.395271	1.137204
3.490920	1.136646
3.589262	1.136061
3.690375	1.135448
3.794336	1.134806
3.901226	1.134133
4.011128	1.133428
4.124125	1.132689
4.240305	1.131916
4.359759	1.131106
4.482577	1.130258
4.608856	1.129370
4.738692	1.128441
4.872185	1.127469
5.009439	1.126452
5.150560	1.125388
5.295656	1.124275
5.444840	1.123112
5.598226	1.121895
5.755934	1.120624
5.918084	1.119295
6.084802	1.117907
6.256216	1.116457
6.432460	1.114942
6.613668	1.113361
6.799982	1.111710
6.991544	1.109987
7.188502	1.108189
7.391009	1.106314
7.599221	1.104357
7.813298	1.102317
8.033406	1.100190
8.259715	1.097974
8.492399	1.095664
8.731638	1.093258
8.977616	1.090752
9.230524	1.088143
9.490557	1.085427
9.757915	1.082600
10.032805	1.079660
10.315438	1.076601
10.606034	1.073421
10.904816	1.070115
11.212015	1.066680
11.527868	1.063111
11.852619	1.059404
12.186519	1.055556
12.529825	1.051562
12.882802	1.047418
13.245723	1.043119
13.618867	1.038662
14.002524	1.034042
14.396988	1.029255
14.802565	1.024297
15.219567	1.019163
15.648317	1.013849
16.089145	1.008351
16.542392	1.002665
17.008406	0.996787
17.487549	0.990713
17.980190	0.984438
18.486709	0.977960
19.007498	0.971274
19.542957	0.964376
20.093501	0.957264
20.659554	0.949935
21.241553	0.942384
21.839948	0.934610
22.455200	0.926609
23.087784	0.918380
23.738189	0.909920
24.406916	0.901228
25.094482	0.892302
25.801418	0.883141
26.528268	0.873745
27.275595	0.864114
28.043974	0.854247
28.834000	0.844145
29.646281	0.833809
30.481445	0.823242
31.340136	0.812444
32.223018	0.801420
33.130771	0.790171
34.064096	0.778703
35.023714	0.767019
36.010365	0.755124
37.024811	0.743025
38.067836	0.730728
39.140243	0.718240
40.242861	0.705568
41.376540	0.692721
42.542157	0.679708
43.740610	0.666538
44.972824	0.653223
46.239752	0.639773
47.542369	0.626200
48.881683	0.612516
50.258727	0.598734
51.674563	0.584867
53.130284	0.570929
54.627015	0.556935
56.165910	0.542900
57.748157	0.528837
59.374978	0.514764
61.047627	0.500696
62.767397	0.486649
64.535614	0.472638
66.353644	0.458680
68.222889	0.444792
70.144793	0.430989
72.120838	0.417287
74.152551	0.403702
76.241499	0.390249
78.389295	0.376943
80.597596	0.363800
82.868107	0.350832
85.202580	0.338055
87.602818	0.325479
90.070672	0.313118
92.608049	0.300983
95.216906	0.289084
97.899256	0.277431
100.657172	0.266033
103.492780	0.254897
106.408270	0.244031
109.405892	0.233440
