# Velocity	Xi_G_fit
1.000000	1.284265
1.025914	1.283972
1.052163	1.283674
1.078753	1.283373
1.105687	1.283068
1.132971	1.282759
1.160607	1.282446
1.188602	1.282129
1.216960	1.281808
1.245685	1.281483
1.274782	1.281153
1.304256	1.280820
1.334112	1.280481
1.364355	1.280139
1.394990	1.279792
1.426022	1.279441
1.457455	1.279085
1.489296	1.278724
1.521550	1.278359
1.554222	1.277989
1.587316	1.277614
1.620840	1.277234
1.654798	1.276850
1.689196	1.276460
1.724040	1.276066
1.759335	1.275666
1.795088	1.275261
1.831303	1.274851
1.867988	1.274436
1.905149	1.274015
1.942790	1.273589
1.980920	1.273157
2.019543	1.272719
2.058667	1.272276
2.098298	1.271827
2.138443	1.271373
2.179107	1.270912
2.220299	1.270446
2.262024	1.269973
2.304290	1.269495
2.347103	1.269010
2.390471	1.268519
2.434401	1.268021
2.478901	1.267517
2.523976	1.267007
2.569636	1.266490
2.615888	1.265966
2.662739	1.265436
2.710197	1.264898
2.758269	1.264354
2.806965	1.263802
2.856291	1.263244
2.906257	1.262678
2.956870	1.262105
3.008139	1.261524
3.060072	1.260936
3.112678	1.260340
3.165966	1.259737
3.219944	1.259125
3.274621	1.258506
3.330007	1.257879
3.386111	1.257244
3.442942	1.256600
3.500508	1.255948
3.558821	1.255288
3.617889	1.254619
3.677723	1.253941
3.738332	1.253255
3.799726	1.252560
3.861916	1.251855
3.924911	1.251142
3.988723	1.250419
4.053362	1.249687
4.118838	1.248946
4.185162	1.248195
4.252346	1.247434
4.320400	1.246663
4.389336	1.245883
4.459165	1.245092
4.529899	1.244291
4.601550	1.243480
4.674129	1.242658
4.747648	1.241825
4.822120	1.240982
4.897556	1.240127
4.973971	1.239262
5.051375	1.238386
5.129782	1.237498
5.209205	1.236598
5.289657	1.235687
5.371152	1.234764
5.453703	1.233829
5.537323	1.232882
5.622026	1.231923
5.707827	1.230952
5.794740	1.229967
5.882779	1.228970
5.971959	1.227960
6.062294	1.226937
6.153799	1.225901
6.246491	1.224852
6.340383	1.223788
6.435492	1.222711
6.531833	1.221620
6.629422	1.220515
6.728276	1.219396
6.828411	1.218262
6.929843	1.217113
7.032589	1.215949
7.136667	1.214771
7.242093	1.213577
7.348885	1.212368
7.457061	1.211142
7.566639	1.209902
7.677636	1.208645
7.790071	1.207371
7.903964	1.206082
8.019332	1.204775
8.136194	1.203452
8.254571	1.202111
8.374482	1.200753
8.495947	1.199378
8.618985	1.197984
8.743617	1.196573
8.869865	1.195143
8.997748	1.193695
9.127288	1.192228
9.258506	1.190742
9.391425	1.189237
9.526066	1.187712
9.662451	1.186168
9.800604	1.184603
9.940547	1.183018
10.082302	1.181413
10.225895	1.179787
10.371348	1.178130
10.518686	1.176441
10.667932	1.174720
10.819113	1.172967
10.972252	1.171181
11.127376	1.169362
11.284509	1.167508
11.443679	1.165621
11.604911	1.163698
11.768231	1.161740
11.933668	1.159747
12.101249	1.157717
12.271001	1.155650
12.442952	1.153546
12.617132	1.151404
12.793568	1.149224
12.972290	1.147006
13.153328	1.144748
13.336711	1.142450
13.522471	1.140112
13.710638	1.137733
13.901242	1.135313
14.094317	1.132852
14.289892	1.130348
14.488002	1.127801
14.688679	1.125212
14.891956	1.122578
15.097867	1.119900
15.306446	1.117178
15.517727	1.114411
15.731746	1.111597
15.948538	1.108738
16.168139	1.105832
16.390586	1.102879
16.615914	1.099879
16.844162	1.096830
17.075368	1.093733
17.309569	1.090587
17.546804	1.087392
17.787114	1.084147
18.030537	1.080851
18.277114	1.077505
18.526887	1.074108
18.779895	1.070659
19.036181	1.067158
19.295789	1.063605
19.558760	1.059999
19.825138	1.056340
20.094968	1.052627
20.368294	1.048861
20.645161	1.045040
20.925616	1.041165
21.209704	1.037235
21.497474	1.033250
21.788972	1.029209
22.084247	1.025113
22.383348	1.020961
22.686324	1.016752
22.993226	1.012487
23.304104	1.008165
23.619011	1.003786
23.937997	0.999350
24.261117	0.994857
24.588423	0.990306
24.919971	0.985698
25.255814	0.981033
25.596008	0.976309
25.940611	0.971528
26.289678	0.966689
26.643269	0.961792
27.001440	0.956838
27.364253	0.951825
27.731766	0.946755
28.104042	0.941627
28.481140	0.936442
28.863125	0.931199
29.250060	0.925900
29.642007	0.920543
30.039034	0.915129
30.441204	0.909659
30.848585	0.904133
31.261245	0.898551
31.679251	0.892913
32.102674	0.887220
32.531583	0.881473
32.966049	0.875671
33.406145	0.869815
33.851942	0.863906
34.303516	0.857944
34.760941	0.851930
35.224293	0.845864
35.693648	0.839747
36.169085	0.833580
36.650682	0.827363
37.138519	0.821098
37.632677	0.814784
38.133238	0.808424
38.640284	0.802017
39.153900	0.795564
39.674172	0.789067
40.201184	0.782526
40.735024	0.775943
41.275782	0.769319
41.823546	0.762654
42.378407	0.755949
42.940458	0.749207
43.509791	0.742428
44.086501	0.735612
44.670684	0.728763
45.262435	0.721880
45.861854	0.714965
46.469040	0.708019
47.084092	0.701045
47.707114	0.694043
48.338209	0.687014
48.977480	0.679961
49.625035	0.672884
50.280979	0.665786
50.945423	0.658667
51.618476	0.651530
52.300250	0.644376
52.990857	0.637206
53.690412	0.630023
54.399032	0.622828
55.116833	0.615623
55.843934	0.608409
56.580457	0.601188
57.326523	0.593962
58.082255	0.586733
58.847779	0.579502
59.623222	0.572272
60.408713	0.565044
61.204381	0.557820
62.010358	0.550601
62.826779	0.543391
63.653777	0.536189
64.491491	0.528999
65.340060	0.521822
66.199623	0.514660
67.070323	0.507515
67.952305	0.500389
68.845715	0.493283
69.750701	0.486199
70.667412	0.479139
71.596001	0.472105
72.536622	0.465099
73.489431	0.458122
74.454585	0.451176
75.432244	0.444263
76.422571	0.437384
77.425729	0.430542
78.441885	0.423737
79.471208	0.416972
80.513867	0.410247
81.570036	0.403565
82.639890	0.396927
83.723606	0.390334
84.821363	0.383788
85.933344	0.377291
87.059733	0.370843
88.200716	0.364446
89.356483	0.358101
90.527225	0.351809
91.713136	0.345572
92.914413	0.339391
94.131255	0.333267
95.363864	0.327200
96.612443	0.321193
97.877200	0.315245
99.158344	0.309357
100.456088	0.303531
101.770647	0.297768
103.102239	0.292067
104.451083	0.286430
105.817405	0.280858
107.201430	0.275350
108.603388	0.269908
110.023511	0.264531
111.462034	0.259221
112.919196	0.253978
114.395238	0.248802
115.890406	0.243693
117.404946	0.238652
118.939110	0.233679
120.493152	0.228773
122.067329	0.223935
123.661903	0.219166
125.277138	0.214464
126.913301	0.209831
128.570664	0.205265
130.249501	0.200767
131.950091	0.196337
133.672716	0.191974
135.417660	0.187678
137.185213	0.183449
138.975668	0.179287
140.789322	0.175190
142.626476	0.171160
144.487433	0.167195
146.372503	0.163294
148.281997	0.159458
150.216233	0.155686
152.175530	0.151977
154.160214	0.148331
156.170613	0.144747
158.207061	0.141225
160.269894	0.137764
162.359456	0.134363
164.476092	0.131021
166.620153	0.127739
168.791995	0.124515
170.991977	0.121348
173.220464	0.118238
175.477825	0.115185
177.764435	0.112186
180.080672	0.109242
182.426921	0.106352
184.803570	0.103515
187.211012	0.100731
189.649648	0.097998
192.119881	0.095316
194.622121	0.092684
197.156782	0.090101
199.724284	0.087566
202.325054	0.085080
204.959521	0.082640
207.628123	0.080247
210.331302	0.077899
213.069505	0.075596
215.843187	0.073337
218.652808	0.071121
221.498833	0.068948
224.381733	0.066817
227.301988	0.064727
230.260079	0.062677
233.256498	0.060667
236.291742	0.058697
239.366313	0.056765
242.480721	0.054870
245.635482	0.053013
248.831120	0.051193
252.068163	0.049408
255.347148	0.047659
258.668618	0.045945
262.033125	0.044264
265.441225	0.042618
268.893484	0.041004
272.390473	0.039423
275.932773	0.037874
279.520970	0.036356
283.155659	0.034870
286.837442	0.033413
290.566930	0.031987
294.344740	0.030590
298.171500	0.029221
302.047842	0.027882
305.974410	0.026570
309.951854	0.025286
313.980834	0.024029
318.062017	0.022798
322.196079	0.021594
326.383706	0.020416
330.625592	0.019263
334.922439	0.018135
339.274961	0.017032
343.683878	0.015953
348.149921	0.014898
352.673830	0.013866
357.256355	0.012857
361.898255	0.011871
366.600300	0.010908
371.363269	0.009966
376.187952	0.009046
381.075148	0.008148
386.025667	0.007270
