|        kc |   z |                 kPpi |                   kepi |
|   0.00075 | 2.0 | 0.004739292022148996 | 0.00037994263789612717 |
|   0.00125 | 2.0 |  0.00643344068713214 |  0.0002777508404862521 |
|   0.00175 | 2.0 | 0.008783554407815685 |  0.0003644282140435292 |
|   0.00225 | 2.0 | 0.012716869882653014 |  0.0004168131882100395 |
|   0.00275 | 2.0 | 0.015449440889333537 | 0.00047942514070974893 |
|   0.00325 | 2.0 |  0.01640800723833456 |  0.0006124716703170773 |
|   0.00375 | 2.0 | 0.015469979834739547 |  0.0006958142703517499 |
|   0.00425 | 2.0 |  0.01536259003688829 |  0.0007882242458042541 |
|   0.00475 | 2.0 | 0.020506119698996392 |  0.0008106906371485776 |
|   0.00525 | 2.0 | 0.020765757115409355 |  0.0010419609927020854 |
|   0.00575 | 2.0 | 0.024633946387533478 |  0.0010623834366897513 |
|   0.00625 | 2.0 |  0.02248680296577503 |  0.0015499522971050982 |
|   0.00675 | 2.0 |  0.02201146285498962 |   0.001301902633788769 |
|   0.00725 | 2.0 |    0.020071857479023 |  0.0013759293379619726 |
|   0.00775 | 2.0 |  0.02981497295423403 |   0.001315129921531665 |
|   0.00825 | 2.0 | 0.029364039253971765 |  0.0014538032945745358 |
|   0.00875 | 2.0 | 0.026951405492768147 |  0.0014422047985192426 |
|   0.00925 | 2.0 |  0.02594911371047677 |  0.0015020361550081933 |
|   0.00975 | 2.0 |  0.02351755403921538 |  0.0015062941067782024 |
| 0.0106101 | 2.0 |  0.02696993353615833 |   0.001167633833370611 |
| 0.0119047 | 2.0 | 0.027968759015780723 |   0.001180616596827673 |
| 0.0133573 | 2.0 | 0.029806882950594967 |   0.001337025658753166 |
| 0.0149871 | 2.0 |  0.02927443156734876 |  0.0013548864310069728 |
| 0.0168159 | 2.0 |  0.02879724256377537 |   0.001593874421968208 |
| 0.0188677 | 2.0 | 0.027009113248989452 |  0.0018163206604076391 |
| 0.0211699 | 2.0 | 0.027560422484138352 |  0.0021410719270093764 |
|   0.00075 | 2.2 | 0.005327242212919075 |    0.00040137125943402 |
|   0.00125 | 2.2 |  0.00903753386600173 |  0.0002549610462975659 |
|   0.00175 | 2.2 | 0.011615334648272541 | 0.00031039232565232666 |
|   0.00225 | 2.2 | 0.015267749606299829 |  0.0003928707143460102 |
|   0.00275 | 2.2 |  0.01862889510297464 |  0.0004868953962736531 |
|   0.00325 | 2.2 | 0.021294708568775265 |  0.0005595473200484285 |
|   0.00375 | 2.2 | 0.019782084074135585 |  0.0006148147493892763 |
|   0.00425 | 2.2 |   0.0199199600013361 |  0.0007006455778042478 |
|   0.00475 | 2.2 |  0.02216747448795545 |  0.0006888680324379757 |
|   0.00525 | 2.2 | 0.027621555232771614 |   0.000875012072892037 |
|   0.00575 | 2.2 | 0.030456622022803314 |  0.0008589604215290324 |
|   0.00625 | 2.2 | 0.026741611425657986 |  0.0009281080717668103 |
|   0.00675 | 2.2 | 0.027695562281309344 |  0.0009518777033626417 |
|   0.00725 | 2.2 | 0.029223226918071207 |  0.0011913580666555452 |
|   0.00775 | 2.2 |  0.03472706745584505 |  0.0010855526562627688 |
|   0.00825 | 2.2 |  0.03707414131711555 |  0.0012408826286073365 |
|   0.00875 | 2.2 |  0.03352559087495003 |   0.001362829055863664 |
|   0.00925 | 2.2 |  0.03536537427060941 |  0.0012494448462357943 |
|   0.00975 | 2.2 |   0.0343550507341149 |  0.0011449324901781678 |
| 0.0106101 | 2.2 |  0.03664741702857096 |  0.0008832685739601692 |
| 0.0119047 | 2.2 |  0.03635553670667365 |  0.0009731554179077208 |
| 0.0133573 | 2.2 |  0.03658236115801866 |  0.0010961676701035652 |
| 0.0149871 | 2.2 | 0.037167198053056766 |  0.0011002015001691909 |
| 0.0168159 | 2.2 |  0.03911060117377122 |  0.0013557396102366027 |
| 0.0188677 | 2.2 |  0.03703221193780869 |   0.001489552424517168 |
| 0.0211699 | 2.2 |  0.03611378020169451 |  0.0017092092698155162 |
|  0.023753 | 2.2 | 0.036268169729071896 |  0.0021234850592030535 |
|   0.00075 | 2.4 |  0.00641762864353596 |  0.0004712530118468094 |
|   0.00125 | 2.4 | 0.010671458300518903 |  0.0003418823248051313 |
|   0.00175 | 2.4 | 0.013341163104678127 | 0.00031137717644017925 |
|   0.00225 | 2.4 |  0.01890323843612929 | 0.00045731270995886175 |
